Strike Hagan NormalHagan HaganDensity HaganUniformLV HaganLVHarmonic HaganLVBessel HaganLVCubic HaganLVHyman
0.0013 -4.08e+01 -8.39e+01 7.774e+00 1.081e+01 7.463e+00 9.404e+00 9.371e+00 9.371e+00
0.0025 -1.63e+01 -2.27e+01 7.800e+00 9.449e+00 7.602e+00 8.610e+00 9.012e+00 9.012e+00
0.0038 -7.81e+00 -8.41e+00 8.374e+00 9.385e+00 1.072e+01 1.032e+01 9.671e+00 9.671e+00
0.0050 -3.37e+00 -2.42e+00 8.374e+00 1.062e+01 1.014e+01 1.030e+01 1.048e+01 1.048e+01
0.0063 -5.26e-01 9.16e-01 9.285e+00 1.155e+01 1.246e+01 1.292e+01 1.135e+01 1.135e+01
0.0075 1.57e+00 3.16e+00 9.285e+00 1.247e+01 1.234e+01 1.250e+01 1.245e+01 1.245e+01
0.0087 3.29e+00 4.90e+00 1.042e+01 1.369e+01 1.415e+01 1.582e+01 1.358e+01 1.358e+01
0.0100 4.82e+00 6.39e+00 1.042e+01 1.496e+01 1.476e+01 1.488e+01 1.490e+01 1.490e+01
0.0113 6.25e+00 7.78e+00 1.170e+01 1.628e+01 1.605e+01 1.877e+01 1.623e+01 1.623e+01
0.0125 7.67e+00 9.15e+00 1.170e+01 1.769e+01 1.756e+01 1.736e+01 1.764e+01 1.764e+01
0.0138 9.11e+00 1.05e+01 1.317e+01 1.908e+01 1.799e+01 2.147e+01 1.906e+01 1.906e+01
0.0150 1.06e+01 1.20e+01 1.317e+01 2.036e+01 2.049e+01 1.978e+01 2.038e+01 2.038e+01
0.0163 1.22e+01 1.36e+01 1.513e+01 2.145e+01 1.929e+01 2.314e+01 2.168e+01 2.168e+01
0.0175 1.39e+01 1.52e+01 1.513e+01 2.234e+01 2.268e+01 2.157e+01 2.201e+01 2.201e+01
0.0188 1.57e+01 1.70e+01 1.827e+01 2.192e+01 1.828e+01 2.195e+01 2.209e+01 2.209e+01
0.0200 1.76e+01 1.88e+01 1.827e+01 2.106e+01 2.193e+01 2.087e+01 2.137e+01 2.137e+01
0.0213 1.95e+01 2.07e+01 1.827e+01 1.929e+01 1.130e+01 1.397e+01 2.042e+01 2.042e+01
0.0225 2.14e+01 2.26e+01 2.332e+01 1.270e+01 1.369e+01 1.309e+01 1.153e+01 1.153e+01
0.0238 2.33e+01 2.44e+01 2.332e+01 1.294e+00 -9.142e+00 -8.227e+00 1.018e+00 1.018e+00
0.0250 2.50e+01 NaN 2.898e+01 -2.847e-01 4.335e+00 4.316e+00 7.369e-01 7.369e-01
0.0263 2.63e+01 2.74e+01 2.594e+01 2.228e+00 -1.057e+01 -9.376e+00 2.053e+00 2.053e+00
