Method gamma K vol
Direct 0.0 0.002 0.6247503298098359
Direct 0.0 0.004 0.5321396062467247
Direct 0.0 0.006 0.4769749916341418
Direct 0.0 0.008 0.4369522636981988
Direct 0.0 0.01 0.40514486514453163
Direct 0.0 0.012 0.3784895340800001
Direct 0.0 0.014 0.35536928063496387
Direct 0.0 0.016 0.33484053442218303
Direct 0.0 0.018000000000000002 0.31632728021255235
Direct 0.0 0.020000000000000004 0.29948735027862705
Direct 0.0 0.022 0.28415598927173813
Direct 0.0 0.024 0.27032776249181056
Direct 0.0 0.026000000000000002 0.25814636860472184
Direct 0.0 0.028000000000000004 0.2478557764528337
Direct 0.0 0.03 0.23966688215176257
Direct 0.0 0.032 0.23358799018216192
Direct 0.0 0.034 0.22937431670542813
Direct 0.0 0.036000000000000004 0.22663918326143662
Direct 0.0 0.038000000000000006 0.22499418190584136
Direct 0.0 0.04 0.22412146311245468
Direct 0.0 0.042 0.22378548033214718
Direct 0.0 0.044000000000000004 0.22381934045760837
Direct 0.0 0.046 0.22410677380067723
Direct 0.0 0.048 0.2245670128304385
Direct 0.0 0.05 0.22514374597119968
Direct 0.0 0.052000000000000005 0.22579746581223079
Direct 0.0 0.054000000000000006 0.2265002678516496
Direct 0.0 0.056 0.2272323256067737
Direct 0.0 0.058 0.22797949047269686
Direct 0.0 0.060000000000000005 0.22873164354350664
Direct 0.0 0.062 0.2294815523100901
Direct 0.0 0.064 0.23022406911486587
Direct 0.0 0.066 0.2309555632732308
Direct 0.0 0.068 0.23167351468296984
Direct 0.0 0.07 0.2323762202546212
Direct 0.0 0.07200000000000001 0.23306258000062274
Direct 0.0 0.07400000000000001 0.2337319399408402
Direct 0.0 0.076 0.23438397592142843
Direct 0.0 0.078 0.23501860715992923
Direct 0.0 0.08 0.23563593156857573
Direct 0.0 0.082 0.23623617715562223
Direct 0.0 0.084 0.23681966538019592
Direct 0.0 0.08600000000000001 0.23738678345130151
Direct 0.0 0.08800000000000001 0.2379379633580523
Direct 0.0 0.09 0.23847366599198214
Direct 0.0 0.092 0.2389943691390512
Direct 0.0 0.094 0.23950055842402473
Direct 0.0 0.096 0.23999272051483203
Direct 0.0 0.098 0.2404713380614976
Direct 0.0 0.1 0.24093688596900403
Direct 0.0 0.10200000000000001 0.2413898286972276
Direct 0.0 0.10400000000000001 0.24183061835198089
Direct 0.0 0.10600000000000001 0.24225969338507036
Direct 0.0 0.108 0.24267747776241225
Direct 0.0 0.11 0.24308438049080655
Direct 0.0 0.112 0.24348079541828346
Direct 0.0 0.114 0.2438671012417299
Direct 0.0 0.116 0.2442436616700959
Direct 0.0 0.11800000000000001 0.2446108257028371
Direct 0.0 0.12000000000000001 0.24496892799212064
Direct 0.0 0.122 0.24531828926425978
Direct 0.0 0.124 0.24565921678128758
Direct 0.0 0.126 0.24599200482786654
Direct 0.0 0.128 0.24631693521208584
Direct 0.0 0.13 0.24663427777136604
Direct 0.0 0.132 0.24694429087677086
Direct 0.0 0.134 0.24724722193068102
Direct 0.0 0.136 0.24754330785408157
Direct 0.0 0.138 0.24783277556073924
Direct 0.0 0.14 0.24811584241634654
Direct 0.0 0.14200000000000002 0.24839271668134263
Direct 0.0 0.14400000000000002 0.24866359793660975
Direct 0.0 0.14600000000000002 0.24892867749162598
Direct 0.0 0.148 0.24918813877495335
Direct 0.0 0.15 0.24944215770715844
Direct 0.0 0.152 0.2496909030564395
Direct 0.0 0.154 0.2499345367773562
Direct 0.0 0.156 0.2501732143331518
Direct 0.0 0.158 0.25040708500222164
Direct 0.0 0.16 0.250636292169321
Direct 0.0 0.162 0.2508609736021403
Direct 0.0 0.164 0.2510812617138758
Direct 0.0 0.166 0.2512972838124396
Direct 0.0 0.168 0.2515091623369355
Direct 0.0 0.17 0.2517170150820255
Direct 0.0 0.17200000000000001 0.2519209554107925
Direct 0.0 0.17400000000000002 0.2521210924566813
Direct 0.0 0.17600000000000002 0.2523175313150929
Direct 0.0 0.178 0.252510373225165
Direct 0.0 0.18 0.2526997157422687
Direct 0.0 0.182 0.25288565290171344
Direct 0.0 0.184 0.2530682753741333
Direct 0.0 0.186 0.25324767061300857
Direct 0.0 0.188 0.2534239229947453
Direct 0.0 0.19 0.25359711395172196
Direct 0.0 0.192 0.2537673220986831
Direct 0.0 0.194 0.25393462335284483
Direct 0.0 0.196 0.25409909104805756
Direct 0.0 0.198 0.25426079604334123
Direct 0.0 0.2 0.25441980682611015
Direct 0.5 0.002 0.6693288506381304
Direct 0.5 0.004 0.5622016448071783
Direct 0.5 0.006 0.4986680891887714
Direct 0.5 0.008 0.4528537864979123
Direct 0.5 0.01 0.41671793321365086
Direct 0.5 0.012 0.38670961276224314
Direct 0.5 0.014 0.36096202600527
Direct 0.5 0.016 0.3383935511581796
Direct 0.5 0.018000000000000002 0.31834945340607357
Direct 0.5 0.020000000000000004 0.3004400936507447
Direct 0.5 0.022 0.2844623719223075
Direct 0.5 0.024 0.27035655221743093
Direct 0.5 0.026000000000000002 0.25816873467103485
Direct 0.5 0.028000000000000004 0.24799416504237518
Direct 0.5 0.03 0.23989195926508153
Direct 0.5 0.032 0.23380078028917983
Direct 0.5 0.034 0.2295118818270706
Direct 0.5 0.036000000000000004 0.2267171580436364
Direct 0.5 0.038000000000000006 0.22508679835505493
Direct 0.5 0.04 0.22432600002490058
Direct 0.5 0.042 0.22419748823462576
Direct 0.5 0.044000000000000004 0.22452119332936982
Direct 0.5 0.046 0.22516459615037418
Direct 0.5 0.048 0.22603154910287485
Direct 0.5 0.05 0.2270526343146791
Direct 0.5 0.052000000000000005 0.22817773021112664
Direct 0.5 0.054000000000000006 0.22937056336551678
Direct 0.5 0.056 0.2306048046839198
Direct 0.5 0.058 0.2318612952254738
Direct 0.5 0.060000000000000005 0.23312607582604492
Direct 0.5 0.062 0.23438898242069853
Direct 0.5 0.064 0.23564263863859566
Direct 0.5 0.066 0.23688172816012593
Direct 0.5 0.068 0.23810246516857775
Direct 0.5 0.07 0.2393022060477966
Direct 0.5 0.07200000000000001 0.240479162566552
Direct 0.5 0.07400000000000001 0.24163218856164423
Direct 0.5 0.076 0.2427606202713017
Direct 0.5 0.078 0.24386415613177567
Direct 0.5 0.08 0.2449427658154069
Direct 0.5 0.082 0.2459966210870754
Direct 0.5 0.084 0.24702604304671022
Direct 0.5 0.08600000000000001 0.24803146175284171
Direct 0.5 0.08800000000000001 0.2490133852534873
Direct 0.5 0.09 0.2499723758015234
Direct 0.5 0.092 0.25090903158235967
Direct 0.5 0.094 0.25182397268846185
Direct 0.5 0.096 0.2527178303776758
Direct 0.5 0.098 0.25359123887862306
Direct 0.5 0.1 0.254444829176816
Direct 0.5 0.10200000000000001 0.25527922434417255
Direct 0.5 0.10400000000000001 0.2560950360728467
Direct 0.5 0.10600000000000001 0.256892862149469
Direct 0.5 0.108 0.2576732846637128
Direct 0.5 0.11 0.2584368687897607
Direct 0.5 0.112 0.2591841620139023
Direct 0.5 0.114 0.2599156937084721
Direct 0.5 0.116 0.26063197497345075
Direct 0.5 0.11800000000000001 0.26133349868358874
Direct 0.5 0.12000000000000001 0.2620207396919449
Direct 0.5 0.122 0.26269415515100364
Direct 0.5 0.124 0.2633541849206689
Direct 0.5 0.126 0.26400125203888153
Direct 0.5 0.128 0.26463576323572624
Direct 0.5 0.13 0.2652581094759768
Direct 0.5 0.132 0.2658686665182723
Direct 0.5 0.134 0.26646779548172045
Direct 0.5 0.136 0.2670558434127772
Direct 0.5 0.138 0.2676331438469252
Direct 0.5 0.14 0.2682000173609782
Direct 0.5 0.14200000000000002 0.2687567721128951
Direct 0.5 0.14400000000000002 0.26930370436683504
Direct 0.5 0.14600000000000002 0.2698410990018389
Direct 0.5 0.148 0.27036923000306223
Direct 0.5 0.15 0.27088836093489854
Direct 0.5 0.152 0.27139874539566233
Direct 0.5 0.154 0.2719006274537546
Direct 0.5 0.156 0.2723942420654412
Direct 0.5 0.158 0.27287981547451484
Direct 0.5 0.16 0.2733575655942371
Direct 0.5 0.162 0.2738277023720371
Direct 0.5 0.164 0.2742904281375026
Direct 0.5 0.166 0.2747459379342483
Direct 0.5 0.168 0.27519441983626175
Direct 0.5 0.17 0.2756360552493532
Direct 0.5 0.17200000000000001 0.27607101919833266
Direct 0.5 0.17400000000000002 0.276499480600538
Direct 0.5 0.17600000000000002 0.2769216025263306
Direct 0.5 0.178 0.27733754244715897
Direct 0.5 0.18 0.2777474524717806
Direct 0.5 0.182 0.27815147957120856
Direct 0.5 0.184 0.27854976579293406
Direct 0.5 0.186 0.2789424484649508
Direct 0.5 0.188 0.27932966039009216
Direct 0.5 0.19 0.27971153003116184
Direct 0.5 0.192 0.28008818168732547
Direct 0.5 0.194 0.2804597356622033
Direct 0.5 0.196 0.2808263084240864
Direct 0.5 0.198 0.28118801275867406
Direct 0.5 0.2 0.281544957914718
Direct 1.0 0.002 0.7394832378223205
Direct 1.0 0.004 0.6077980707047137
Direct 1.0 0.006 0.5305207082490982
Direct 1.0 0.008 0.4754737177334144
Direct 1.0 0.01 0.43265239263218297
Direct 1.0 0.012 0.39764265017795714
Direct 1.0 0.014 0.3681273633493694
Direct 1.0 0.016 0.34276313259311714
Direct 1.0 0.018000000000000002 0.3207276184327612
Direct 1.0 0.020000000000000004 0.3015079992120334
Direct 1.0 0.022 0.28478925983655884
Direct 1.0 0.024 0.27038589476249447
Direct 1.0 0.026000000000000002 0.25819077449544353
Direct 1.0 0.028000000000000004 0.24812900604995103
Direct 1.0 0.03 0.24011499343906376
Direct 1.0 0.032 0.2340196470755209
Direct 1.0 0.034 0.2296575246388979
Direct 1.0 0.036000000000000004 0.22679703910873392
Direct 1.0 0.038000000000000006 0.22518581272098442
Direct 1.0 0.04 0.22457788516240723
Direct 1.0 0.042 0.22475310205384244
Direct 1.0 0.044000000000000004 0.2255261417867296
Direct 1.0 0.046 0.22674745738561927
Direct 1.0 0.048 0.22829967621111225
Direct 1.0 0.05 0.23009226756751297
Direct 1.0 0.052000000000000005 0.23205612130286127
Direct 1.0 0.054000000000000006 0.23413878008803704
Direct 1.0 0.056 0.2363005428655553
Direct 1.0 0.058 0.23851140629504203
Direct 1.0 0.060000000000000005 0.24074871746807508
Direct 1.0 0.062 0.2429953940151235
Direct 1.0 0.064 0.2452385819277663
Direct 1.0 0.066 0.24746864495800666
Direct 1.0 0.068 0.24967840286329715
Direct 1.0 0.07 0.251862555690365
Direct 1.0 0.07200000000000001 0.25401724708707374
Direct 1.0 0.07400000000000001 0.2561397316974505
Direct 1.0 0.076 0.2582281207269223
Direct 1.0 0.078 0.2602811864538329
Direct 1.0 0.08 0.26229821139297166
Direct 1.0 0.082 0.2642788714453549
Direct 1.0 0.084 0.26622314504222766
Direct 1.0 0.08600000000000001 0.2681312422666917
Direct 1.0 0.08800000000000001 0.2700035494011947
Direct 1.0 0.09 0.2718405854400437
Direct 1.0 0.092 0.27364296792235476
Direct 1.0 0.094 0.2754113860546259
Direct 1.0 0.096 0.27714657955593813
Direct 1.0 0.098 0.2788493220110726
Direct 1.0 0.1 0.2805204077857131
Direct 1.0 0.10200000000000001 0.28216064176416245
Direct 1.0 0.10400000000000001 0.28377083132892594
Direct 1.0 0.10600000000000001 0.28535178012458867
Direct 1.0 0.108 0.28690428324409806
Direct 1.0 0.11 0.2884291235503016
Direct 1.0 0.112 0.2899270689041863
Direct 1.0 0.114 0.2913988701174021
Direct 1.0 0.116 0.2928452594830958
Direct 1.0 0.11800000000000001 0.2942669497679823
Direct 1.0 0.12000000000000001 0.29566463357156486
Direct 1.0 0.122 0.29703898297676745
Direct 1.0 0.124 0.29839064943091326
Direct 1.0 0.126 0.29972026380777717
Direct 1.0 0.128 0.3010284366109054
Direct 1.0 0.13 0.30231575828605384
Direct 1.0 0.132 0.3035827996167573
Direct 1.0 0.134 0.30483011218206163
Direct 1.0 0.136 0.3060582288594885
Direct 1.0 0.138 0.3072676643596161
Direct 1.0 0.14 0.30845891578132134
Direct 1.0 0.14200000000000002 0.30963246317892923
Direct 1.0 0.14400000000000002 0.31078877013427375
Direct 1.0 0.14600000000000002 0.3119282843281418
Direct 1.0 0.148 0.3130514381067404
Direct 1.0 0.15 0.3141586490397949
Direct 1.0 0.152 0.31525032046767293
Direct 1.0 0.154 0.3163268420355628
Direct 1.0 0.156 0.3173885902132581
Direct 1.0 0.158 0.31843592879952
Direct 1.0 0.16 0.319469209410325
Direct 1.0 0.162 0.32048877195059106
Direct 1.0 0.164 0.32149494506918147
Direct 1.0 0.166 0.3224880465971755
Direct 1.0 0.168 0.3234683839695206
Direct 1.0 0.17 0.32443625463029996
Direct 1.0 0.17200000000000001 0.325391946421933
Direct 1.0 0.17400000000000002 0.32633573795868004
Direct 1.0 0.17600000000000002 0.3272678989848876
Direct 1.0 0.178 0.3281886907184292
Direct 1.0 0.18 0.3290983661798291
Direct 1.0 0.182 0.32999717050756844
Direct 1.0 0.184 0.3308853412600806
Direct 1.0 0.186 0.33176310870494546
Direct 1.0 0.188 0.33263069609578655
Direct 1.0 0.19 0.3334883199373717
Direct 1.0 0.192 0.3343361902394093
Direct 1.0 0.194 0.33517451075951504
Direct 1.0 0.196 0.33600347923581897
Direct 1.0 0.198 0.33682328760966146
Direct 1.0 0.2 0.33763412223881756
Direct 1.5 0.002 0.8694244550846811
Direct 1.5 0.004 0.6878065583857532
Direct 1.5 0.006 0.5837395853634226
Direct 1.5 0.008 0.5114733285850346
Direct 1.5 0.01 0.45677248365372736
Direct 1.5 0.012 0.4133438182951441
Direct 1.5 0.014 0.3778612284975673
Direct 1.5 0.016 0.34836173304509255
Direct 1.5 0.018000000000000002 0.3235954212216749
Direct 1.5 0.020000000000000004 0.30271970801803993
Direct 1.5 0.022 0.28513936063140555
Direct 1.5 0.024 0.27041580998339815
Direct 1.5 0.026000000000000002 0.2582124961295307
Direct 1.5 0.028000000000000004 0.24826038594898758
Direct 1.5 0.03 0.24033549959444686
Direct 1.5 0.032 0.2342439614647154
Direct 1.5 0.034 0.229811972121313
Direct 1.5 0.036000000000000004 0.2268791230015057
Direct 1.5 0.038000000000000006 0.2252940702821773
Direct 1.5 0.04 0.22491194466061976
Direct 1.5 0.042 0.22559309215867174
Direct 1.5 0.044000000000000004 0.2272028608647739
Direct 1.5 0.046 0.22961219399277713
Direct 1.5 0.048 0.23269878274156738
Direct 1.5 0.05 0.2363485020600621
Direct 1.5 0.052000000000000005 0.24045683375750937
Direct 1.5 0.054000000000000006 0.24493000498792894
Direct 1.5 0.056 0.24968564663097767
Direct 1.5 0.058 0.2546528890620274
Direct 1.5 0.060000000000000005 0.25977192768721613
Direct 1.5 0.062 0.2649931744078776
Direct 1.5 0.064 0.2702761483765404
Direct 1.5 0.066 0.2755882545830701
Direct 1.5 0.068 0.2809035681516364
Direct 1.5 0.07 0.28620170294988057
Direct 1.5 0.07200000000000001 0.2914668071256878
Direct 1.5 0.07400000000000001 0.29668670095020794
Direct 1.5 0.076 0.3018521546074712
Direct 1.5 0.078 0.3069562936959815
Direct 1.5 0.08 0.31199411588642395
Direct 1.5 0.082 0.3169621013238686
Direct 1.5 0.084 0.32185790041386814
Direct 1.5 0.08600000000000001 0.3266800845600402
Direct 1.5 0.08800000000000001 0.33142794761014277
Direct 1.5 0.09 0.3361013478859626
Direct 1.5 0.092 0.34070058256440655
Direct 1.5 0.094 0.34522628779031694
Direct 1.5 0.096 0.34967935923722104
Direct 1.5 0.098 0.35406088891737036
Direct 1.5 0.1 0.35837211491306575
Direct 1.5 0.10200000000000001 0.362614381394168
Direct 1.5 0.10400000000000001 0.3667891068353352
Direct 1.5 0.10600000000000001 0.37089775877969794
Direct 1.5 0.108 0.37494183383721263
Direct 1.5 0.11 0.3789228418751721
Direct 1.5 0.112 0.38284229357071453
Direct 1.5 0.114 0.38670169066291843
Direct 1.5 0.116 0.39050251837475886
Direct 1.5 0.11800000000000001 0.39424623958039945
Direct 1.5 0.12000000000000001 0.3979342903768723
Direct 1.5 0.122 0.40156807678574546
Direct 1.5 0.124 0.4051489723635201
Direct 1.5 0.126 0.408678316542005
Direct 1.5 0.128 0.4121574135540386
Direct 1.5 0.13 0.41558753182734726
Direct 1.5 0.132 0.4189699037514451
Direct 1.5 0.134 0.4223057257403375
Direct 1.5 0.136 0.42559615852825394
Direct 1.5 0.138 0.42884232764736785
Direct 1.5 0.14 0.432045324045996
Direct 1.5 0.14200000000000002 0.43520620481353495
Direct 1.5 0.14400000000000002 0.43832599398472694
Direct 1.5 0.14600000000000002 0.4414056834010185
Direct 1.5 0.148 0.4444462336110056
Direct 1.5 0.15 0.44744857479542427
Direct 1.5 0.152 0.45041360770497973
Direct 1.5 0.154 0.45334220460163993
Direct 1.5 0.156 0.4562352101959227
Direct 1.5 0.158 0.45909344257427026
Direct 1.5 0.16 0.46191769411189965
Direct 1.5 0.162 0.46470873236755383
Direct 1.5 0.164 0.4674673009574567
Direct 1.5 0.166 0.47019412040646774
Direct 1.5 0.168 0.4728898889750149
Direct 1.5 0.17 0.4755552834608505
Direct 1.5 0.17200000000000001 0.478190959975055
Direct 1.5 0.17400000000000002 0.4807975546920208
Direct 1.5 0.17600000000000002 0.48337568457339575
Direct 1.5 0.178 0.48592594806616457
Direct 1.5 0.18 0.4884489257751979
Direct 1.5 0.182 0.49094518111072516
Direct 1.5 0.184 0.4934152609112813
Direct 1.5 0.186 0.4958596960427462
Direct 1.5 0.188 0.4982790019741478
Direct 1.5 0.19 0.5006736793309375
Direct 1.5 0.192 0.5030442144264748
Direct 1.5 0.194 0.5053910797724581
Direct 1.5 0.196 0.5077147345690624
Direct 1.5 0.198 0.5100156251755283
Direct 1.5 0.2 0.5122941855619432
Direct 1.7 0.002 0.9598982215792128
Direct 1.7 0.004 0.7411020148232886
Direct 1.7 0.006 0.6176304032374266
Direct 1.7 0.008 0.5333356007128917
Direct 1.7 0.01 0.4707007067969448
Direct 1.7 0.012 0.42194170004732173
Direct 1.7 0.014 0.3829056337908876
Direct 1.7 0.016 0.351105243942913
Direct 1.7 0.018000000000000002 0.32492546057478705
Direct 1.7 0.020000000000000004 0.30325326718884704
Direct 1.7 0.022 0.2852866141335187
Direct 1.7 0.024 0.2704279410753745
Direct 1.7 0.026000000000000002 0.2582210974404873
Direct 1.7 0.028000000000000004 0.24831198900058268
Direct 1.7 0.03 0.24042289681037915
Direct 1.7 0.032 0.2343350464881242
Direct 1.7 0.034 0.2298763696961007
Direct 1.7 0.036000000000000004 0.226912661511987
Direct 1.7 0.038000000000000006 0.22534103447289178
Direct 1.7 0.04 0.22508496350890944
Direct 1.7 0.042 0.22609043594099307
Direct 1.7 0.044000000000000004 0.2283228288923983
Direct 1.7 0.046 0.23176414957300098
Direct 1.7 0.048 0.23641015848363772
Direct 1.7 0.05 0.24226651273786437
Direct 1.7 0.052000000000000005 0.24934195757409636
Direct 1.7 0.054000000000000006 0.25763312964135177
Direct 1.7 0.056 0.2670835337818727
