Strike Hagan NormalHagan HaganDensity HaganUniformLV HaganLVHarmonic HaganLVBessel HaganLVCubic HaganLVHyman
0.0025 0.676 0.845 0.5610 0.5612 0.5613 0.5613 0.5613 0.5613
0.0050 0.559 0.626 0.4767 0.4770 0.4769 0.4769 0.4769 0.4769
0.0075 0.487 0.523 0.4240 0.4241 0.4241 0.4241 0.4241 0.4241
0.0100 0.434 0.455 0.3849 0.3850 0.3850 0.3850 0.3850 0.3850
0.0125 0.393 0.406 0.3538 0.3540 0.3538 0.3538 0.3538 0.3538
0.0150 0.359 0.367 0.3282 0.3283 0.3281 0.3281 0.3281 0.3281
0.0175 0.330 0.335 0.3065 0.3067 0.3065 0.3065 0.3065 0.3065
0.0200 0.306 0.309 0.2883 0.2883 0.2881 0.2881 0.2881 0.2881
0.0225 0.286 0.287 0.2729 0.2729 0.2727 0.2727 0.2727 0.2727
0.0250 0.269 NaN 0.2603 0.2602 0.2599 0.2599 0.2599 0.2599
0.0275 0.256 0.255 0.2501 0.2500 0.2498 0.2498 0.2498 0.2498
0.0300 0.245 0.245 0.2425 0.2423 0.2420 0.2420 0.2420 0.2420
0.0325 0.238 0.237 0.2370 0.2367 0.2365 0.2365 0.2365 0.2365
0.0350 0.233 0.233 0.2335 0.2330 0.2329 0.2329 0.2329 0.2329
0.0375 0.231 0.230 0.2315 0.2308 0.2308 0.2309 0.2308 0.2308
0.0400 0.230 0.230 0.2308 0.2298 0.2301 0.2301 0.2301 0.2301
0.0425 0.231 0.230 0.2310 0.2297 0.2302 0.2302 0.2302 0.2302
0.0450 0.232 0.232 0.2319 0.2300 0.2310 0.2311 0.2311 0.2311
0.0475 0.234 0.234 0.2333 0.2308 0.2324 0.2324 0.2324 0.2324
0.0500 0.237 0.237 0.2350 0.2317 0.2341 0.2340 0.2340 0.2340
0.0525 0.239 0.240 0.2369 0.2327 0.2359 0.2359 0.2359 0.2359
0.0550 0.242 0.243 0.2390 0.2337 0.2380 0.2380 0.2380 0.2380
0.0575 0.245 0.246 0.2412 0.2345 0.2401 0.2401 0.2401 0.2401
0.0600 0.248 0.250 0.2434 0.2352 0.2423 0.2424 0.2423 0.2423
0.0625 0.251 0.253 0.2457 0.2358 0.2446 0.2445 0.2446 0.2446
0.0650 0.254 0.256 0.2479 0.2361 0.2468 0.2468 0.2468 0.2468
0.0675 0.257 0.259 0.2502 0.2361 0.2490 0.2490 0.2490 0.2490
0.0700 0.260 0.263 0.2525 0.2358 0.2512 0.2512 0.2512 0.2512
0.0725 0.263 0.266 0.2546 0.2351 0.2534 0.2533 0.2534 0.2534
0.0750 0.265 0.269 0.2568 0.2341 0.2555 0.2555 0.2555 0.2555
0.0775 0.268 0.272 0.2590 0.2327 0.2576 0.2577 0.2576 0.2576
0.0800 0.271 0.275 0.2611 0.2307 0.2597 0.2597 0.2597 0.2597
0.0825 0.273 0.278 0.2631 0.2282 0.2618 0.2617 0.2617 0.2617
0.0850 0.276 0.281 0.2651 0.2249 0.2637 0.2637 0.2637 0.2637
0.0875 0.278 0.284 0.2671 0.2208 0.2657 0.2657 0.2657 0.2657
0.0900 0.281 0.287 0.2691 0.2155 0.2676 0.2676 0.2676 0.2676
0.0925 0.283 0.289 0.2709 0.2086 0.2695 0.2694 0.2694 0.2694
0.0950 0.286 0.292 0.2728 0.1990 0.2713 0.2712 0.2713 0.2713
0.0975 0.288 0.295 0.2746 0.1838 0.2731 0.2730 0.2731 0.2731
0.1000 0.290 0.297 0.2763 0.0643 0.2748 0.2748 0.2748 0.2748
