Strike Hagan NormalHagan HaganDensity HaganUniformLV HaganLVHarmonic HaganLVBessel HaganLVCubic HaganLVHyman
0.0025 0.676 0.845 0.5611 0.6071 0.6071 0.6071 0.6071 0.6071
0.0050 0.559 0.626 0.4768 0.5202 0.5201 0.5201 0.5201 0.5201
0.0075 0.487 0.523 0.4239 0.4652 0.4651 0.4651 0.4651 0.4651
0.0100 0.434 0.455 0.3849 0.4243 0.4241 0.4241 0.4241 0.4241
0.0125 0.393 0.406 0.3538 0.3915 0.3914 0.3914 0.3914 0.3914
0.0150 0.359 0.367 0.3281 0.3643 0.3641 0.3641 0.3641 0.3641
0.0175 0.330 0.335 0.3065 0.3413 0.3411 0.3411 0.3411 0.3411
0.0200 0.306 0.309 0.2882 0.3218 0.3216 0.3216 0.3216 0.3216
0.0225 0.286 0.287 0.2728 0.3053 0.3051 0.3051 0.3051 0.3051
0.0250 0.269 NaN 0.2602 0.2916 0.2914 0.2914 0.2914 0.2914
0.0275 0.256 0.255 0.2501 0.2806 0.2804 0.2804 0.2804 0.2804
0.0300 0.245 0.245 0.2424 0.2721 0.2720 0.2720 0.2720 0.2720
0.0325 0.238 0.237 0.2370 0.2659 0.2659 0.2660 0.2660 0.2660
0.0350 0.233 0.233 0.2335 0.2616 0.2619 0.2620 0.2619 0.2619
0.0375 0.231 0.230 0.2315 0.2590 0.2596 0.2596 0.2596 0.2596
0.0400 0.230 0.230 0.2309 0.2575 0.2586 0.2586 0.2586 0.2586
0.0425 0.231 0.230 0.2311 0.2569 0.2587 0.2586 0.2586 0.2586
0.0450 0.232 0.232 0.2320 0.2568 0.2594 0.2594 0.2594 0.2594
0.0475 0.234 0.234 0.2334 0.2571 0.2607 0.2606 0.2606 0.2606
0.0500 0.237 0.237 0.2351 0.2575 0.2623 0.2623 0.2623 0.2623
0.0525 0.239 0.240 0.2371 0.2580 0.2642 0.2642 0.2642 0.2642
0.0550 0.242 0.243 0.2392 0.2584 0.2662 0.2662 0.2662 0.2662
0.0575 0.245 0.246 0.2414 0.2587 0.2684 0.2684 0.2684 0.2684
0.0600 0.248 0.250 0.2437 0.2589 0.2706 0.2707 0.2706 0.2706
0.0625 0.251 0.253 0.2459 0.2588 0.2729 0.2729 0.2729 0.2729
0.0650 0.254 0.256 0.2482 0.2584 0.2752 0.2752 0.2752 0.2752
0.0675 0.257 0.259 0.2505 0.2577 0.2775 0.2775 0.2775 0.2775
0.0700 0.260 0.263 0.2527 0.2567 0.2797 0.2797 0.2797 0.2797
0.0725 0.263 0.266 0.2549 0.2553 0.2820 0.2819 0.2820 0.2820
0.0750 0.265 0.269 0.2571 0.2534 0.2842 0.2842 0.2842 0.2842
0.0775 0.268 0.272 0.2593 0.2511 0.2863 0.2864 0.2863 0.2863
0.0800 0.271 0.275 0.2614 0.2483 0.2885 0.2884 0.2884 0.2884
0.0825 0.273 0.278 0.2634 0.2448 0.2905 0.2905 0.2905 0.2905
0.0850 0.276 0.281 0.2654 0.2405 0.2926 0.2926 0.2926 0.2926
0.0875 0.278 0.284 0.2674 0.2353 0.2946 0.2946 0.2946 0.2946
0.0900 0.281 0.287 0.2694 0.2288 0.2965 0.2966 0.2965 0.2965
0.0925 0.283 0.289 0.2713 0.2205 0.2985 0.2984 0.2985 0.2985
0.0950 0.286 0.292 0.2731 0.2093 0.3003 0.3003 0.3003 0.3003
0.0975 0.288 0.295 0.2749 0.1920 0.3022 0.3021 0.3022 0.3022
0.1000 0.290 0.297 0.2766 0.0643 0.3040 0.3039 0.3040 0.3040
0.1025 0.292 0.300 0.2784 NaN 0.3057 0.3057 0.3057 0.3057
0.1050 0.294 0.302 0.2801 NaN 0.3074 0.3075 0.3074 0.3074
0.1075 0.296 0.305 0.2818 NaN 0.3091 0.3091 0.3091 0.3091
0.1100 0.298 0.307 0.2834 NaN 0.3108 0.3107 0.3108 0.3108
0.1125 0.300 0.309 0.2850 NaN 0.3124 0.3123 0.3124 0.3124
0.1150 0.302 0.311 0.2865 NaN 0.3140 0.3139 0.3140 0.3140
0.1175 0.304 0.314 0.2880 NaN 0.3155 0.3155 0.3155 0.3155
0.1200 0.306 0.316 0.2895 NaN 0.3170 0.3170 0.3170 0.3170
0.1225 0.308 0.318 0.2910 NaN 0.3185 0.3185 0.3185 0.3185
0.1250 0.309 0.320 0.2925 NaN 0.3200 0.3200 0.3200 0.3200
0.1275 0.311 0.322 0.2939 NaN 0.3214 0.3214 0.3214 0.3214
0.1300 0.313 0.324 0.2953 NaN 0.3228 0.3228 0.3228 0.3228
0.1325 0.314 0.326 0.2966 NaN 0.3242 0.3242 0.3242 0.3242
0.1350 0.316 0.328 0.2979 NaN 0.3256 0.3255 0.3255 0.3255
0.1375 0.318 0.330 0.2992 NaN 0.3269 0.3268 0.3269 0.3269
0.1400 0.319 0.332 0.3005 NaN 0.3282 0.3281 0.3282 0.3282
0.1425 0.321 0.334 0.3017 NaN 0.3295 0.3294 0.3294 0.3294
0.1450 0.322 0.336 0.3030 NaN 0.3307 0.3307 0.3307 0.3307
0.1475 0.324 0.337 0.3042 NaN 0.3319 0.3319 0.3319 0.3319
0.1500 0.325 0.339 0.3054 NaN 0.3331 0.3332 0.3332 0.3332
0.1525 0.327 0.341 0.3066 NaN 0.3343 0.3344 0.3343 0.3343
0.1550 0.328 0.343 0.3078 NaN 0.3355 0.3356 0.3355 0.3355
0.1575 0.329 0.344 0.3089 NaN 0.3367 0.3367 0.3367 0.3367
0.1600 0.331 0.346 0.3100 NaN 0.3378 0.3378 0.3378 0.3378
0.1625 0.332 0.348 0.3111 NaN 0.3389 0.3389 0.3389 0.3389
0.1650 0.333 0.349 0.3122 NaN 0.3400 0.3400 0.3400 0.3400
0.1675 0.335 0.351 0.3133 NaN 0.3411 0.3410 0.3411 0.3411
0.1700 0.336 0.352 0.3143 NaN 0.3422 0.3421 0.3422 0.3422
0.1725 0.337 0.354 0.3153 NaN 0.3432 0.3431 0.3432 0.3432
0.1750 0.338 0.355 0.3163 NaN 0.3443 0.3442 0.3442 0.3442
0.1775 0.339 0.357 0.3173 NaN 0.3453 0.3452 0.3453 0.3453
0.1800 0.341 0.358 0.3183 NaN 0.3463 0.3462 0.3463 0.3463
0.1825 0.342 0.360 0.3193 NaN 0.3473 0.3472 0.3473 0.3473
0.1850 0.343 0.361 0.3202 NaN 0.3482 0.3482 0.3482 0.3482
0.1875 0.344 0.363 0.3212 NaN 0.3492 0.3492 0.3492 0.3492
0.1900 0.345 0.364 0.3221 NaN 0.3501 0.3502 0.3501 0.3501
0.1925 0.346 0.366 0.3231 NaN 0.3511 0.3511 0.3511 0.3511
0.1950 0.347 0.367 0.3240 NaN 0.3520 0.3520 0.3520 0.3520
0.1975 0.348 0.368 0.3249 NaN 0.3529 0.3529 0.3529 0.3529
0.2000 0.349 0.370 0.3258 NaN 0.3538 0.3538 0.3538 0.3538
0.2025 0.351 0.371 0.3267 NaN 0.3547 0.3547 0.3547 0.3547
0.2050 0.352 0.372 0.3275 NaN 0.3556 0.3555 0.3556 0.3556
0.2075 0.353 0.374 0.3284 NaN 0.3564 0.3564 0.3564 0.3564
0.2100 0.354 0.375 0.3292 NaN 0.3573 0.3572 0.3573 0.3573
0.2125 0.354 0.376 0.3300 NaN 0.3581 0.3580 0.3581 0.3581
0.2150 0.355 0.377 0.3309 NaN 0.3590 0.3589 0.3589 0.3589
0.2175 0.356 0.379 0.3317 NaN 0.3598 0.3597 0.3597 0.3597
0.2200 0.357 0.380 0.3324 NaN 0.3606 0.3605 0.3606 0.3606
0.2225 0.358 0.381 0.3332 NaN 0.3614 0.3613 0.3614 0.3614
0.2250 0.359 0.382 0.3340 NaN 0.3622 0.3621 0.3621 0.3621
0.2275 0.360 0.383 0.3348 NaN 0.3629 0.3629 0.3629 0.3629
0.2300 0.361 0.384 0.3355 NaN 0.3637 0.3637 0.3637 0.3637
0.2325 0.362 0.386 0.3363 NaN 0.3645 0.3644 0.3645 0.3645
0.2350 0.363 0.387 0.3370 NaN 0.3652 0.3652 0.3652 0.3652
0.2375 0.364 0.388 0.3377 NaN 0.3659 0.3660 0.3660 0.3660
0.2400 0.364 0.389 0.3384 NaN 0.3667 0.3667 0.3667 0.3667
0.2425 0.365 0.390 0.3392 NaN 0.3674 0.3675 0.3674 0.3674
0.2450 0.366 0.391 0.3399 NaN 0.3681 0.3682 0.3681 0.3681
0.2475 0.367 0.392 0.3406 NaN 0.3688 0.3689 0.3689 0.3689
0.2500 0.368 0.393 0.3413 NaN 0.3695 0.3696 0.3696 0.3696
