Scheme Strike Density
Hagan 0.0050 1.71e+00
LMG3 0.0050 6.38e-03
LMG2 0.0050 6.37e-03
RAN 0.0050 6.37e-03
RE 0.0050 6.38e-03
TRBDF2 0.0050 6.38e-03
CN 0.0050 6.38e-03
Hagan 0.0151 -3.30e-01
LMG3 0.0151 1.15e-02
LMG2 0.0151 1.15e-02
RAN 0.0151 1.15e-02
RE 0.0151 1.15e-02
TRBDF2 0.0151 1.15e-02
CN 0.0151 1.15e-02
Hagan 0.0251 -3.04e-01
LMG3 0.0251 1.54e-02
LMG2 0.0251 1.54e-02
RAN 0.0251 1.54e-02
RE 0.0251 1.55e-02
TRBDF2 0.0251 1.55e-02
CN 0.0251 1.55e-02
Hagan 0.0352 -2.44e-01
LMG3 0.0352 1.89e-02
LMG2 0.0352 1.89e-02
RAN 0.0352 1.89e-02
RE 0.0352 1.89e-02
TRBDF2 0.0352 1.89e-02
CN 0.0352 1.89e-02
Hagan 0.0452 -1.94e-01
LMG3 0.0452 2.22e-02
LMG2 0.0452 2.22e-02
RAN 0.0452 2.22e-02
RE 0.0452 2.22e-02
TRBDF2 0.0452 2.22e-02
CN 0.0452 2.22e-02
Hagan 0.0553 -1.54e-01
LMG3 0.0553 2.53e-02
LMG2 0.0553 2.53e-02
RAN 0.0553 2.53e-02
RE 0.0553 2.53e-02
TRBDF2 0.0553 2.53e-02
CN 0.0553 2.53e-02
Hagan 0.0653 -1.23e-01
LMG3 0.0653 2.84e-02
LMG2 0.0653 2.84e-02
RAN 0.0653 2.84e-02
RE 0.0653 2.84e-02
TRBDF2 0.0653 2.84e-02
CN 0.0653 2.84e-02
Hagan 0.0754 -9.72e-02
LMG3 0.0754 3.14e-02
LMG2 0.0754 3.14e-02
RAN 0.0754 3.14e-02
RE 0.0754 3.15e-02
TRBDF2 0.0754 3.14e-02
CN 0.0754 3.14e-02
Hagan 0.0854 -7.61e-02
LMG3 0.0854 3.45e-02
LMG2 0.0854 3.45e-02
RAN 0.0854 3.45e-02
RE 0.0854 3.45e-02
TRBDF2 0.0854 3.45e-02
CN 0.0854 3.45e-02
Hagan 0.0955 -5.82e-02
LMG3 0.0955 3.75e-02
LMG2 0.0955 3.75e-02
RAN 0.0955 3.75e-02
RE 0.0955 3.76e-02
TRBDF2 0.0955 3.76e-02
CN 0.0955 3.76e-02
Hagan 0.1055 -4.29e-02
LMG3 0.1055 4.06e-02
LMG2 0.1055 4.06e-02
RAN 0.1055 4.06e-02
RE 0.1055 4.07e-02
TRBDF2 0.1055 4.07e-02
CN 0.1055 4.07e-02
Hagan 0.1156 -2.96e-02
LMG3 0.1156 4.38e-02
LMG2 0.1156 4.38e-02
RAN 0.1156 4.38e-02
RE 0.1156 4.38e-02
TRBDF2 0.1156 4.38e-02
CN 0.1156 4.38e-02
Hagan 0.1256 -1.78e-02
LMG3 0.1256 4.70e-02
LMG2 0.1256 4.70e-02
RAN 0.1256 4.70e-02
RE 0.1256 4.70e-02
TRBDF2 0.1256 4.70e-02
CN 0.1256 4.70e-02
Hagan 0.1357 -7.26e-03
LMG3 0.1357 5.03e-02
LMG2 0.1357 5.02e-02
RAN 0.1357 5.02e-02
RE 0.1357 5.03e-02
TRBDF2 0.1357 5.03e-02
CN 0.1357 5.03e-02
Hagan 0.1457 2.29e-03
LMG3 0.1457 5.36e-02
LMG2 0.1457 5.36e-02
RAN 0.1457 5.36e-02
RE 0.1457 5.36e-02
TRBDF2 0.1457 5.36e-02
CN 0.1457 5.36e-02
Hagan 0.1558 1.10e-02
LMG3 0.1558 5.70e-02
LMG2 0.1558 5.70e-02
RAN 0.1558 5.70e-02
RE 0.1558 5.71e-02
TRBDF2 0.1558 5.70e-02
CN 0.1558 5.70e-02
Hagan 0.1658 1.91e-02
LMG3 0.1658 6.05e-02
LMG2 0.1658 6.05e-02
RAN 0.1658 6.05e-02
RE 0.1658 6.06e-02
TRBDF2 0.1658 6.05e-02
CN 0.1658 6.05e-02
Hagan 0.1759 2.67e-02
LMG3 0.1759 6.41e-02
LMG2 0.1759 6.41e-02
RAN 0.1759 6.41e-02
RE 0.1759 6.42e-02
TRBDF2 0.1759 6.41e-02
CN 0.1759 6.42e-02
Hagan 0.1859 3.39e-02
LMG3 0.1859 6.79e-02
LMG2 0.1859 6.78e-02
RAN 0.1859 6.78e-02
RE 0.1859 6.79e-02
TRBDF2 0.1859 6.79e-02
CN 0.1859 6.79e-02
Hagan 0.1960 4.07e-02
LMG3 0.1960 7.17e-02
LMG2 0.1960 7.16e-02
RAN 0.1960 7.17e-02
RE 0.1960 7.17e-02
TRBDF2 0.1960 7.17e-02
