Scheme Strike Density
Hagan 0.0012 -1.0925e+01
CN 0.0012 2.4392e-03
Hagan 0.0050 1.6913e+00
CN 0.0050 5.8601e-03
Hagan 0.0099 -1.5233e-01
CN 0.0099 8.6740e-03
Hagan 0.0154 -3.3164e-01
CN 0.0154 1.1232e-02
Hagan 0.0213 -3.2564e-01
CN 0.0213 1.3655e-02
Hagan 0.0277 -2.8868e-01
CN 0.0277 1.6001e-02
Hagan 0.0343 -2.4889e-01
CN 0.0343 1.8305e-02
Hagan 0.0412 -2.1251e-01
CN 0.0412 2.0589e-02
Hagan 0.0483 -1.8067e-01
CN 0.0483 2.2868e-02
Hagan 0.0556 -1.5313e-01
CN 0.0556 2.5154e-02
Hagan 0.0630 -1.2930e-01
CN 0.0630 2.7457e-02
Hagan 0.0706 -1.0862e-01
CN 0.0706 2.9782e-02
Hagan 0.0783 -9.0545e-02
CN 0.0783 3.2137e-02
Hagan 0.0862 -7.4643e-02
CN 0.0862 3.4526e-02
Hagan 0.0941 -6.0548e-02
CN 0.0941 3.6954e-02
Hagan 0.1021 -4.7961e-02
CN 0.1021 3.9425e-02
Hagan 0.1101 -3.6637e-02
CN 0.1101 4.1942e-02
Hagan 0.1182 -2.6376e-02
CN 0.1182 4.4510e-02
Hagan 0.1264 -1.7010e-02
CN 0.1264 4.7130e-02
Hagan 0.1345 -8.4033e-03
CN 0.1345 4.9807e-02
Hagan 0.1428 -4.4007e-04
CN 0.1428 5.2542e-02
Hagan 0.1510 6.9758e-03
CN 0.1510 5.5339e-02
Hagan 0.1593 1.3926e-02
CN 0.1593 5.8200e-02
Hagan 0.1675 2.0478e-02
CN 0.1675 6.1129e-02
Hagan 0.1758 2.6693e-02
CN 0.1758 6.4127e-02
Hagan 0.1841 3.2619e-02
CN 0.1841 6.7197e-02
Hagan 0.1924 3.8302e-02
CN 0.1924 7.0341e-02
Hagan 0.2007 4.3778e-02
CN 0.2007 7.3563e-02
Hagan 0.2090 4.9080e-02
CN 0.2090 7.6864e-02
Hagan 0.2172 5.4238e-02
CN 0.2172 8.0246e-02
Hagan 0.2255 5.9277e-02
CN 0.2255 8.3714e-02
Hagan 0.2337 6.4219e-02
CN 0.2337 8.7267e-02
Hagan 0.2419 6.9085e-02
CN 0.2419 9.0910e-02
Hagan 0.2501 7.3892e-02
CN 0.2501 9.4645e-02
Hagan 0.2583 7.8656e-02
CN 0.2583 9.8474e-02
Hagan 0.2664 8.3392e-02
CN 0.2664 1.0240e-01
Hagan 0.2745 8.8113e-02
CN 0.2745 1.0642e-01
Hagan 0.2826 9.2831e-02
CN 0.2826 1.1055e-01
Hagan 0.2906 9.7557e-02
CN 0.2906 1.1478e-01
Hagan 0.2987 1.0230e-01
CN 0.2987 1.1911e-01
Hagan 0.3066 1.0707e-01
CN 0.3066 1.2356e-01
Hagan 0.3146 1.1188e-01
CN 0.3146 1.2811e-01
Hagan 0.3225 1.1673e-01
CN 0.3225 1.3278e-01
Hagan 0.3303 1.2164e-01
CN 0.3303 1.3757e-01
Hagan 0.3382 1.2660e-01
CN 0.3382 1.4247e-01
Hagan 0.3459 1.3163e-01
CN 0.3459 1.4749e-01
Hagan 0.3537 1.3673e-01
CN 0.3537 1.5264e-01
Hagan 0.3614 1.4191e-01
CN 0.3614 1.5792e-01
Hagan 0.3690 1.4717e-01
CN 0.3690 1.6332e-01
Hagan 0.3767 1.5252e-01
CN 0.3767 1.6885e-01
Hagan 0.3842 1.5797e-01
CN 0.3842 1.7452e-01
Hagan 0.3918 1.6351e-01
CN 0.3918 1.8032e-01
Hagan 0.3992 1.6916e-01
CN 0.3992 1.8626e-01
Hagan 0.4067 1.7492e-01
CN 0.4067 1.9234e-01
Hagan 0.4141 1.8079e-01
CN 0.4141 1.9857e-01
Hagan 0.4214 1.8679e-01
CN 0.4214 2.0494e-01
Hagan 0.4287 1.9290e-01
CN 0.4287 2.1145e-01
Hagan 0.4360 1.9914e-01
CN 0.4360 2.1812e-01
Hagan 0.4432 2.0552e-01
CN 0.4432 2.2494e-01
Hagan 0.4503 2.1203e-01
CN 0.4503 2.3191e-01
Hagan 0.4574 2.1867e-01
CN 0.4574 2.3904e-01
Hagan 0.4645 2.2547e-01
CN 0.4645 2.4633e-01
Hagan 0.4715 2.3240e-01
CN 0.4715 2.5378e-01
Hagan 0.4785 2.3949e-01
CN 0.4785 2.6139e-01
Hagan 0.4854 2.4673e-01
CN 0.4854 2.6916e-01
Hagan 0.4923 2.5413e-01
CN 0.4923 2.7710e-01
Hagan 0.4991 2.6169e-01
CN 0.4991 2.8521e-01
Hagan 0.5059 2.6942e-01
CN 0.5059 2.9349e-01
Hagan 0.5126 2.7731e-01
CN 0.5126 3.0194e-01
Hagan 0.5193 2.8538e-01
CN 0.5193 3.1056e-01
Hagan 0.5259 2.9361e-01
CN 0.5259 3.1935e-01
Hagan 0.5325 3.0203e-01
CN 0.5325 3.2832e-01
Hagan 0.5391 3.1062e-01
CN 0.5391 3.3747e-01
Hagan 0.5456 3.1939e-01
CN 0.5456 3.4679e-01
Hagan 0.5520 3.2835e-01
CN 0.5520 3.5630e-01
Hagan 0.5585 3.3750e-01
CN 0.5585 3.6598e-01
Hagan 0.5648 3.4684e-01
CN 0.5648 3.7584e-01
Hagan 0.5712 3.5636e-01
CN 0.5712 3.8588e-01
Hagan 0.5774 3.6609e-01
CN 0.5774 3.9610e-01
Hagan 0.5837 3.7600e-01
CN 0.5837 4.0650e-01
Hagan 0.5899 3.8612e-01
CN 0.5899 4.1708e-01
Hagan 0.5960 3.9643e-01
CN 0.5960 4.2784e-01
Hagan 0.6021 4.0694e-01
CN 0.6021 4.3879e-01
Hagan 0.6082 4.1766e-01
