Strike Hagan NormalHagan NormalHaganScaled AndreasenHugeRaw AndreasenHuge HaganPDE HaganEulerPDE
0.0500 -1.74e-01 -1.38e-01 -3.96e-01 1.36e-02 3.09e-02 2.42e-02 2.42e-02
0.1000 -5.11e-02 1.16e-02 -7.52e-02 2.24e-02 4.87e-02 3.86e-02 3.87e-02
0.1500 6.10e-03 5.27e-02 9.76e-03 3.18e-02 6.67e-02 5.38e-02 5.39e-02
0.2000 4.33e-02 7.79e-02 5.25e-02 4.26e-02 8.65e-02 7.45e-02 7.47e-02
0.2500 7.38e-02 1.00e-01 8.37e-02 5.55e-02 1.09e-01 9.47e-02 9.50e-02
0.3000 1.03e-01 1.24e-01 1.12e-01 7.11e-02 1.36e-01 1.19e-01 1.19e-01
0.3500 1.34e-01 1.51e-01 1.43e-01 9.04e-02 1.67e-01 1.47e-01 1.47e-01
0.4000 1.70e-01 1.84e-01 1.78e-01 1.15e-01 2.05e-01 1.88e-01 1.89e-01
0.4500 2.12e-01 2.24e-01 2.19e-01 1.45e-01 2.51e-01 2.31e-01 2.31e-01
0.5000 2.63e-01 2.74e-01 2.70e-01 1.84e-01 3.06e-01 2.82e-01 2.83e-01
0.5500 3.25e-01 3.35e-01 3.32e-01 2.35e-01 3.74e-01 3.56e-01 3.57e-01
0.6000 4.03e-01 4.12e-01 4.10e-01 3.02e-01 4.55e-01 4.37e-01 4.37e-01
0.6500 5.00e-01 5.08e-01 5.06e-01 3.90e-01 5.53e-01 5.30e-01 5.31e-01
0.7000 6.18e-01 6.26e-01 6.24e-01 5.07e-01 6.66e-01 6.41e-01 6.41e-01
0.7500 7.59e-01 7.66e-01 7.64e-01 6.61e-01 7.96e-01 7.96e-01 7.96e-01
0.8000 9.21e-01 9.28e-01 9.26e-01 8.62e-01 9.34e-01 9.40e-01 9.39e-01
0.8500 1.09e+00 1.10e+00 1.10e+00 1.12e+00 1.07e+00 1.09e+00 1.09e+00
0.9000 1.26e+00 1.26e+00 1.26e+00 1.44e+00 1.19e+00 1.23e+00 1.23e+00
0.9500 1.39e+00 1.39e+00 1.39e+00 1.81e+00 1.26e+00 1.34e+00 1.34e+00
1.0000 1.44e+00 NaN NaN 2.23e+00 1.28e+00 1.38e+00 1.38e+00
1.0500 1.42e+00 1.42e+00 1.42e+00 1.83e+00 1.27e+00 1.36e+00 1.36e+00
1.1000 1.31e+00 1.32e+00 1.32e+00 1.47e+00 1.21e+00 1.26e+00 1.26e+00
1.1500 1.16e+00 1.16e+00 1.16e+00 1.15e+00 1.09e+00 1.12e+00 1.12e+00
1.2000 9.77e-01 9.80e-01 9.79e-01 8.90e-01 9.53e-01 9.65e-01 9.65e-01
1.2500 8.03e-01 8.05e-01 8.04e-01 6.84e-01 8.07e-01 8.14e-01 8.14e-01
1.3000 6.49e-01 6.50e-01 6.49e-01 5.25e-01 6.71e-01 6.50e-01 6.50e-01
1.3500 5.20e-01 5.21e-01 5.20e-01 4.05e-01 5.51e-01 5.34e-01 5.34e-01
1.4000 4.15e-01 4.16e-01 4.15e-01 3.16e-01 4.50e-01 4.36e-01 4.37e-01
1.4500 3.33e-01 3.33e-01 3.32e-01 2.48e-01 3.67e-01 3.52e-01 3.52e-01
1.5000 2.68e-01 2.68e-01 2.67e-01 1.97e-01 3.00e-01 2.81e-01 2.81e-01
1.5500 2.17e-01 2.17e-01 2.16e-01 1.58e-01 2.45e-01 2.31e-01 2.31e-01
1.6000 1.77e-01 1.76e-01 1.76e-01 1.29e-01 2.02e-01 1.91e-01 1.91e-01
1.6500 1.46e-01 1.45e-01 1.45e-01 1.06e-01 1.67e-01 1.54e-01 1.54e-01
1.7000 1.21e-01 1.20e-01 1.20e-01 8.75e-02 1.39e-01 1.28e-01 1.28e-01
1.7500 1.01e-01 9.98e-02 9.96e-02 7.31e-02 1.16e-01 1.07e-01 1.08e-01
1.8000 8.46e-02 8.38e-02 8.36e-02 6.17e-02 9.72e-02 9.03e-02 9.05e-02
1.8500 7.15e-02 7.07e-02 7.06e-02 5.24e-02 8.21e-02 7.45e-02 7.47e-02
1.9000 6.09e-02 6.01e-02 6.00e-02 4.49e-02 6.97e-02 6.36e-02 6.38e-02
1.9500 5.22e-02 5.14e-02 5.13e-02 3.87e-02 5.94e-02 5.46e-02 5.47e-02
2.0000 4.49e-02 4.42e-02 4.41e-02 3.36e-02 5.09e-02 4.64e-02 4.65e-02
2.0500 3.89e-02 3.83e-02 3.81e-02 2.93e-02 4.39e-02 3.96e-02 3.97e-02
2.1000 3.39e-02 3.33e-02 3.31e-02 2.57e-02 3.79e-02 3.44e-02 3.45e-02
2.1500 2.96e-02 2.90e-02 2.89e-02 2.27e-02 3.30e-02 3.00e-02 3.01e-02
2.2000 2.60e-02 2.55e-02 2.54e-02 2.01e-02 2.87e-02 2.58e-02 2.58e-02
2.2500 2.29e-02 2.24e-02 2.23e-02 1.79e-02 2.51e-02 2.26e-02 2.26e-02
2.3000 2.03e-02 1.98e-02 1.97e-02 1.60e-02 2.21e-02 1.99e-02 2.00e-02
2.3500 1.81e-02 1.76e-02 1.75e-02 1.43e-02 1.95e-02 1.76e-02 1.76e-02
2.4000 1.61e-02 1.57e-02 1.56e-02 1.29e-02 1.72e-02 1.53e-02 1.54e-02
2.4500 1.44e-02 1.40e-02 1.39e-02 1.17e-02 1.53e-02 1.37e-02 1.37e-02
2.5000 1.29e-02 1.26e-02 1.25e-02 1.06e-02 1.36e-02 1.22e-02 1.22e-02
2.5500 1.16e-02 1.13e-02 1.12e-02 9.61e-03 1.21e-02 1.08e-02 1.08e-02
2.6000 1.05e-02 1.02e-02 1.01e-02 8.76e-03 1.08e-02 9.63e-03 9.64e-03
2.6500 9.49e-03 9.22e-03 9.13e-03 8.01e-03 9.72e-03 8.68e-03 8.69e-03
2.7000 8.61e-03 8.35e-03 8.27e-03 7.34e-03 8.74e-03 7.82e-03 7.83e-03
2.7500 7.83e-03 7.59e-03 7.51e-03 6.74e-03 7.88e-03 6.97e-03 6.98e-03
2.8000 7.13e-03 6.91e-03 6.83e-03 6.20e-03 7.11e-03 6.30e-03 6.31e-03
2.8500 6.51e-03 6.31e-03 6.23e-03 5.72e-03 6.44e-03 5.73e-03 5.73e-03
