SpaceSteps TimeSteps Scheme Price PriceError Vol  Error Time
500 2 CN 7.4249e-03 5.5e-04 0.24114 1.9e-02  2.8e-04
500 2 RAN 7.9337e-03 4.5e-05 0.25858 1.6e-03  3.2e-04
500 2 LMG2 7.9685e-03 1.1e-05 0.25978 3.7e-04  3.4e-04
500 2 LMG3 7.9904e-03 1.1e-05 0.26053 3.9e-04  4.2e-04
500 2 TRBDF2 7.9648e-03 1.4e-05 0.25965 4.9e-04  3.8e-04
500 2 RE 8.6284e-03 6.5e-04 0.28272 2.3e-02  4.4e-04
500 5 CN 8.2039e-03 2.2e-04 0.26792 7.8e-03  4.0e-04
500 5 RAN 7.9815e-03 2.4e-06 0.26023 8.4e-05  5.1e-04
500 5 LMG2 7.9752e-03 3.9e-06 0.26001 1.3e-04  6.3e-04
500 5 LMG3 7.9812e-03 2.0e-06 0.26021 7.1e-05  8.6e-04
500 5 TRBDF2 7.9813e-03 2.2e-06 0.26022 7.7e-05  6.1e-04
500 5 RE 8.0697e-03 9.1e-05 0.26327 3.1e-03  7.6e-04
500 10 CN 7.8773e-03 1.0e-04 0.25664 3.5e-03  6.1e-04
500 10 RAN 7.9799e-03 7.6e-07 0.26017 2.6e-05  7.1e-04
500 10 LMG2 7.9777e-03 1.4e-06 0.26010 4.8e-05  1.0e-03
500 10 LMG3 7.9797e-03 5.9e-07 0.26016 2.0e-05  1.6e-03
500 10 TRBDF2 7.9796e-03 5.2e-07 0.26016 1.8e-05  8.7e-04
500 10 RE 7.9967e-03 1.8e-05 0.26075 6.1e-04  1.1e-03
500 20 CN 7.9382e-03 4.1e-05 0.25873 1.4e-03  8.3e-04
500 20 RAN 7.9793e-03 2.1e-07 0.26015 7.2e-06  9.2e-04
500 20 LMG2 7.9787e-03 4.3e-07 0.26013 1.5e-05  1.7e-03
500 20 LMG3 7.9793e-03 1.6e-07 0.26015 5.5e-06  2.8e-03
500 20 TRBDF2 7.9792e-03 1.2e-07 0.26015 4.1e-06  1.3e-03
500 20 RE 7.9825e-03 3.4e-06 0.26026 1.2e-04  1.7e-03
500 40 CN 7.9677e-03 1.1e-05 0.25975 3.9e-04  1.3e-03
500 40 RAN 7.9792e-03 4.6e-08 0.26015 1.6e-06  1.4e-03
500 40 LMG2 7.9790e-03 1.3e-07 0.26014 4.5e-06  2.7e-03
500 40 LMG3 7.9792e-03 3.4e-08 0.26015 1.2e-06  4.2e-03
500 40 TRBDF2 7.9791e-03 1.9e-08 0.26014 6.6e-07  2.4e-03
500 40 RE 7.9798e-03 6.9e-07 0.26017 2.4e-05  3.3e-03
500 80 CN 7.9782e-03 8.9e-07 0.26011 3.1e-05  2.4e-03
500 80 RAN 7.9791e-03 1.7e-09 0.26014 5.9e-08  2.6e-03
500 80 LMG2 7.9791e-03 4.5e-08 0.26014 1.5e-06  5.2e-03
500 80 LMG3 7.9791e-03 8.5e-10 0.26014 2.9e-08  8.2e-03
500 80 TRBDF2 7.9791e-03 5.3e-09 0.26014 1.8e-07  4.7e-03
500 80 RE 7.9793e-03 1.4e-07 0.26015 4.9e-06  6.4e-03
500 160 CN 7.9791e-03 1.2e-08 0.26014 4.2e-07  4.7e-03
500 160 RAN 7.9791e-03 9.6e-09 0.26014 3.3e-07  4.8e-03
500 160 LMG2 7.9791e-03 2.1e-08 0.26014 7.4e-07  1.0e-02
500 160 LMG3 7.9791e-03 1.0e-08 0.26014 3.5e-07  2.5e-02
500 160 TRBDF2 7.9791e-03 1.1e-08 0.26014 3.9e-07  9.3e-03
500 160 RE 7.9791e-03 2.3e-08 0.26014 8.1e-07  1.3e-02
500 320 CN 7.9791e-03 1.3e-08 0.26014 4.5e-07  9.3e-03
500 320 RAN 7.9791e-03 1.2e-08 0.26014 4.3e-07  9.5e-03
500 320 LMG2 7.9791e-03 1.5e-08 0.26014 5.3e-07  2.0e-02
500 320 LMG3 7.9791e-03 1.3e-08 0.26014 4.3e-07  3.2e-02
500 320 TRBDF2 7.9791e-03 1.3e-08 0.26014 4.4e-07  1.9e-02
500 320 RE 7.9791e-03 4.5e-09 0.26014 1.6e-07  2.5e-02
500 640 CN 7.9791e-03 1.3e-08 0.26014 4.6e-07  1.9e-02
500 640 RAN 7.9791e-03 1.3e-08 0.26014 4.5e-07  1.9e-02
500 640 LMG2 7.9791e-03 1.4e-08 0.26014 4.8e-07  4.1e-02
500 640 LMG3 7.9791e-03 1.3e-08 0.26014 4.6e-07  6.4e-02
500 640 TRBDF2 7.9791e-03 1.3e-08 0.26014 4.6e-07  3.7e-02
500 640 RE 7.9791e-03 1.1e-08 0.26014 3.9e-07  5.1e-02
500 1280 CN 7.9791e-03 1.3e-08 0.26014 4.6e-07  3.7e-02
500 1280 RAN 7.9791e-03 1.3e-08 0.26014 4.6e-07  3.7e-02
500 1280 LMG2 7.9791e-03 1.4e-08 0.26014 4.7e-07  8.1e-02
500 1280 LMG3 7.9791e-03 1.3e-08 0.26014 4.6e-07  1.4e-01
500 1280 TRBDF2 7.9791e-03 1.3e-08 0.26014 4.6e-07  7.5e-02
500 1280 RE 7.9791e-03 1.3e-08 0.26014 4.4e-07  1.0e-01
