SpaceSteps TimeSteps Scheme MaxError F Time
500 1 CN 4.3e+01 0.0250 4.4e-04
500 2 CN 4.2e+01 0.0250 4.3e-04
500 3 CN 4.1e+01 0.0250 4.2e-04
500 4 CN 4.0e+01 0.0250 4.4e-04
500 5 CN 3.9e+01 0.0250 4.7e-04
500 6 CN 3.9e+01 0.0250 5.1e-04
500 7 CN 3.8e+01 0.0250 5.5e-04
500 8 CN 3.7e+01 0.0250 5.6e-04
500 9 CN 3.6e+01 0.0250 6.6e-04
500 10 CN 3.5e+01 0.0250 6.3e-04
500 20 CN 2.7e+01 0.0250 9.3e-04
500 40 CN 1.4e+01 0.0250 1.5e-03
500 80 CN 2.2e+00 0.0250 2.9e-03
500 160 CN 3.9e-03 0.0250 5.3e-03
500 320 CN 1.9e-06 0.0234 1.0e-02
500 640 CN 2.2e-06 0.0236 2.0e-02
500 1280 CN 2.2e-06 0.0236 4.0e-02
500 1 RAN 4.3e-02 0.0248 5.0e-04
500 2 RAN 1.8e-02 0.0243 5.1e-04
500 3 RAN 5.6e-03 0.0176 4.8e-04
500 4 RAN 3.6e-03 0.0243 5.1e-04
500 5 RAN 2.2e-03 0.0198 5.4e-04
500 6 RAN 1.6e-03 0.0243 5.6e-04
500 7 RAN 1.1e-03 0.0208 6.1e-04
500 8 RAN 8.8e-04 0.0243 6.5e-04
500 9 RAN 7.0e-04 0.0215 6.6e-04
500 10 RAN 5.7e-04 0.0245 7.8e-04
500 20 RAN 1.5e-04 0.0217 1.1e-03
500 40 RAN 3.9e-05 0.0229 1.7e-03
500 80 RAN 1.1e-05 0.0227 2.9e-03
500 160 RAN 4.5e-06 0.0232 5.2e-03
500 320 RAN 2.8e-06 0.0234 1.0e-02
500 640 RAN 2.4e-06 0.0236 2.0e-02
500 1280 RAN 2.3e-06 0.0236 3.9e-02
500 1 LMG2 4.6e-02 0.0250 4.9e-04
500 2 LMG2 4.3e-03 0.0250 5.7e-04
500 3 LMG2 2.0e-03 0.0232 5.7e-04
500 4 LMG2 1.3e-03 0.0241 7.0e-04
500 5 LMG2 9.6e-04 0.0241 7.5e-04
500 6 LMG2 7.3e-04 0.0241 8.4e-04
500 7 LMG2 5.7e-04 0.0243 9.2e-04
500 8 LMG2 4.6e-04 0.0243 1.0e-03
500 9 LMG2 3.8e-04 0.0243 1.1e-03
500 10 LMG2 3.2e-04 0.0243 1.2e-03
500 20 LMG2 9.6e-05 0.0245 2.0e-03
500 40 LMG2 2.8e-05 0.0245 3.8e-03
500 80 LMG2 9.1e-06 0.0245 7.1e-03
500 160 LMG2 4.0e-06 0.0243 1.4e-02
500 320 LMG2 2.7e-06 0.0238 2.8e-02
500 640 LMG2 2.3e-06 0.0236 5.6e-02
500 1280 LMG2 2.3e-06 0.0236 1.1e-01
500 1 LMG3 4.7e-02 0.0250 5.6e-04
500 2 LMG3 2.6e-03 0.0250 6.8e-04
500 3 LMG3 1.0e-03 0.0243 8.0e-04
500 4 LMG3 5.8e-04 0.0241 9.2e-04
500 5 LMG3 3.8e-04 0.0241 1.1e-03
500 6 LMG3 2.6e-04 0.0241 1.2e-03
500 7 LMG3 2.0e-04 0.0241 1.4e-03
500 8 LMG3 1.5e-04 0.0241 1.5e-03
500 9 LMG3 1.2e-04 0.0241 1.6e-03
500 10 LMG3 9.6e-05 0.0241 1.9e-03
500 20 LMG3 2.5e-05 0.0241 3.3e-03
500 40 LMG3 7.5e-06 0.0238 6.1e-03
500 80 LMG3 3.5e-06 0.0236 1.2e-02
500 160 LMG3 2.5e-06 0.0236 2.3e-02
500 320 LMG3 2.3e-06 0.0236 4.6e-02
500 640 LMG3 2.2e-06 0.0236 9.2e-02
500 1280 LMG3 2.2e-06 0.0236 1.8e-01
500 1 LS 2.1e-01 0.0250 4.8e-04
500 2 LS 2.7e-02 0.0250 5.1e-04
500 3 LS 6.2e-03 0.0250 5.4e-04
500 4 LS 1.0e-03 0.0305 5.9e-04
