SpaceSteps TimeSteps Scheme MaxError Time
500 2 CN 2.1e+00 3.0e-04
500 2 RAN 3.7e+00 3.2e-04
500 2 LMG2 2.7e+00 4.1e-04
500 2 LMG3 2.3e+00 5.2e-04
500 2 TRBDF2 2.1e+00 4.0e-04
500 2 RE 8.9e-01 4.8e-04
500 5 CN 2.3e+00 3.5e-04
500 5 RAN 2.5e+00 4.0e-04
500 5 LMG2 2.5e+00 5.5e-04
500 5 LMG3 2.4e+00 7.5e-04
500 5 TRBDF2 2.3e+00 5.0e-04
500 5 RE 2.1e+00 6.2e-04
500 10 CN 2.4e+00 5.1e-04
500 10 RAN 2.4e+00 7.5e-04
500 10 LMG2 2.4e+00 1.2e-03
500 10 LMG3 2.4e+00 1.8e-03
500 10 TRBDF2 2.4e+00 1.1e-03
500 10 RE 2.3e+00 1.4e-03
500 20 CN 2.4e+00 1.1e-03
500 20 RAN 2.4e+00 1.2e-03
500 20 LMG2 2.4e+00 2.1e-03
500 20 LMG3 2.4e+00 2.5e-03
500 20 TRBDF2 2.4e+00 1.3e-03
500 20 RE 2.4e+00 2.3e-03
500 40 CN 2.4e+00 1.3e-03
500 40 RAN 2.4e+00 1.4e-03
500 40 LMG2 2.4e+00 2.7e-03
500 40 LMG3 2.4e+00 4.1e-03
500 40 TRBDF2 2.4e+00 3.0e-03
500 40 RE 2.4e+00 3.2e-03
500 80 CN 2.4e+00 2.5e-03
500 80 RAN 2.4e+00 2.5e-03
500 80 LMG2 2.4e+00 5.1e-03
500 80 LMG3 2.4e+00 9.3e-03
500 80 TRBDF2 2.4e+00 4.6e-03
500 80 RE 2.4e+00 6.3e-03
500 160 CN 2.4e+00 4.7e-03
500 160 RAN 2.4e+00 4.8e-03
500 160 LMG2 2.4e+00 1.0e-02
500 160 LMG3 2.4e+00 1.7e-02
500 160 TRBDF2 2.4e+00 9.1e-03
500 160 RE 2.4e+00 1.2e-02
500 320 CN 2.4e+00 9.4e-03
500 320 RAN 2.4e+00 9.2e-03
500 320 LMG2 2.4e+00 2.0e-02
500 320 LMG3 2.4e+00 3.2e-02
500 320 TRBDF2 2.4e+00 1.8e-02
500 320 RE 2.4e+00 2.5e-02
500 640 CN 2.4e+00 1.8e-02
500 640 RAN 2.4e+00 1.8e-02
500 640 LMG2 2.4e+00 4.3e-02
500 640 LMG3 2.4e+00 6.5e-02
500 640 TRBDF2 2.4e+00 4.0e-02
500 640 RE 2.4e+00 5.0e-02
500 1280 CN 2.4e+00 3.7e-02
500 1280 RAN 2.4e+00 3.8e-02
500 1280 LMG2 2.4e+00 8.1e-02
500 1280 LMG3 2.4e+00 1.3e-01
500 1280 TRBDF2 2.4e+00 7.2e-02
500 1280 RE 2.4e+00 1.1e-01
