SpaceSteps TimeSteps Scheme MaxError Time
500 2 CN 8.9e+01 2.8e-04
500 2 RAN 1.1e-01 3.9e-04
500 2 LMG2 2.9e-02 4.2e-04
500 2 LMG3 9.7e-03 5.1e-04
500 2 TRBDF2 2.4e-01 3.0e-04
500 2 RE 9.6e-01 9.8e-04
500 5 CN 7.6e+01 3.4e-04
500 5 RAN 8.1e-03 3.6e-04
500 5 LMG2 6.9e-03 5.0e-04
500 5 LMG3 1.3e-03 6.4e-04
500 5 TRBDF2 5.3e-03 4.2e-04
500 5 RE 4.1e-02 5.4e-04
500 10 CN 5.6e+01 4.4e-04
500 10 RAN 2.4e-03 5.2e-04
500 10 LMG2 2.4e-03 7.6e-04
500 10 LMG3 3.4e-04 1.1e-03
500 10 TRBDF2 7.6e-04 6.9e-04
500 10 RE 7.8e-03 9.6e-04
500 20 CN 2.5e+01 8.9e-04
500 20 RAN 6.4e-04 7.7e-04
500 20 LMG2 7.8e-04 1.4e-03
500 20 LMG3 1.4e-04 2.2e-03
500 20 TRBDF2 1.2e-04 1.3e-03
500 20 RE 1.7e-03 1.7e-03
500 40 CN 2.1e+00 1.3e-03
500 40 RAN 2.3e-04 1.3e-03
500 40 LMG2 2.9e-04 2.7e-03
500 40 LMG3 1.0e-04 4.4e-03
500 40 TRBDF2 4.2e-05 2.7e-03
500 40 RE 3.2e-04 3.2e-03
500 80 CN 4.7e-04 3.5e-03
500 80 RAN 1.3e-04 2.4e-03
500 80 LMG2 1.5e-04 5.4e-03
500 80 LMG3 9.6e-05 8.0e-03
500 80 TRBDF2 8.2e-05 4.6e-03
500 80 RE 2.1e-05 7.2e-03
500 160 CN 8.8e-05 5.2e-03
500 160 RAN 1.0e-04 5.4e-03
500 160 LMG2 1.1e-04 1.1e-02
500 160 LMG3 9.5e-05 1.6e-02
500 160 TRBDF2 9.2e-05 1.0e-02
500 160 RE 7.0e-05 1.2e-02
500 320 CN 9.3e-05 9.1e-03
500 320 RAN 9.7e-05 9.3e-03
500 320 LMG2 9.8e-05 2.0e-02
500 320 LMG3 9.5e-05 4.3e-02
500 320 TRBDF2 9.4e-05 1.8e-02
500 320 RE 8.9e-05 2.4e-02
500 640 CN 9.5e-05 1.9e-02
500 640 RAN 9.5e-05 1.9e-02
500 640 LMG2 9.6e-05 4.2e-02
500 640 LMG3 9.5e-05 7.3e-02
500 640 TRBDF2 9.5e-05 4.1e-02
500 640 RE 9.3e-05 5.5e-02
500 1280 CN 9.5e-05 4.2e-02
500 1280 RAN 9.5e-05 5.3e-02
500 1280 LMG2 9.5e-05 9.0e-02
500 1280 LMG3 9.5e-05 1.4e-01
500 1280 TRBDF2 9.5e-05 8.1e-02
500 1280 RE 9.5e-05 1.1e-01
