SpaceSteps TimeSteps Scheme MaxError FError Time
500 2 CN 9.1e+01 1.0000 2.8e-04
500 2 RAN 1.1e-01 1.0000 2.9e-04
500 2 LMG2 3.0e-02 1.0000 3.2e-04
500 2 LMG3 1.0e-02 1.0000 3.9e-04
500 2 LS 2.4e-01 1.0000 3.1e-04
500 2 TRBDF2 2.4e-01 1.0000 3.4e-04
500 2 RE 9.6e-01 1.0000 5.3e-04
500 5 CN 7.8e+01 1.0000 3.1e-04
500 5 RAN 8.3e-03 1.0905 3.4e-04
500 5 LMG2 7.0e-03 1.0000 3.5e-04
500 5 LMG3 1.3e-03 1.0000 4.6e-04
500 5 LS 5.4e-03 1.0000 3.4e-04
500 5 TRBDF2 5.4e-03 1.0000 3.4e-04
500 5 RE 4.1e-02 1.0000 5.1e-04
500 10 CN 5.7e+01 1.0000 3.2e-04
500 10 RAN 2.5e-03 1.0000 3.6e-04
500 10 LMG2 2.4e-03 1.0000 5.2e-04
500 10 LMG3 3.6e-04 1.0000 7.5e-04
500 10 LS 7.7e-04 1.0000 4.3e-04
500 10 TRBDF2 7.8e-04 1.0000 4.7e-04
500 10 RE 7.8e-03 1.0000 7.6e-04
500 20 CN 2.5e+01 1.0000 4.7e-04
500 20 RAN 6.5e-04 1.0000 5.0e-04
500 20 LMG2 7.9e-04 1.0000 8.4e-04
500 20 LMG3 1.4e-04 1.0000 1.4e-03
500 20 LS 1.2e-04 1.0000 6.7e-04
500 20 TRBDF2 1.2e-04 1.0000 7.6e-04
500 20 RE 1.7e-03 1.0000 1.0e-03
500 40 CN 2.1e+00 1.0000 7.5e-04
500 40 RAN 2.3e-04 1.0000 7.9e-04
500 40 LMG2 2.9e-04 1.0000 1.6e-03
500 40 LMG3 1.0e-04 1.0000 2.5e-03
500 40 LS 4.2e-05 1.0000 1.2e-03
500 40 TRBDF2 4.2e-05 1.0000 1.3e-03
500 40 RE 3.2e-04 1.0000 1.7e-03
500 80 CN 4.8e-04 1.0000 1.4e-03
500 80 RAN 1.3e-04 1.0000 1.4e-03
500 80 LMG2 1.5e-04 1.0000 2.9e-03
500 80 LMG3 9.6e-05 1.0000 4.8e-03
500 80 LS 8.2e-05 1.0000 2.2e-03
500 80 TRBDF2 8.2e-05 1.0000 2.6e-03
500 80 RE 2.1e-05 1.2814 3.1e-03
500 160 CN 8.8e-05 1.0000 2.5e-03
500 160 RAN 1.0e-04 1.0000 2.6e-03
500 160 LMG2 1.1e-04 1.0000 5.7e-03
500 160 LMG3 9.5e-05 1.0000 1.4e-02
500 160 LS 9.2e-05 1.0000 4.1e-03
500 160 TRBDF2 9.2e-05 1.0000 4.8e-03
500 160 RE 7.0e-05 1.0000 5.9e-03
500 320 CN 9.3e-05 1.0000 4.9e-03
500 320 RAN 9.7e-05 1.0000 5.1e-03
500 320 LMG2 9.8e-05 1.0000 1.1e-02
500 320 LMG3 9.5e-05 1.0000 1.9e-02
500 320 LS 9.4e-05 1.0000 8.0e-03
500 320 TRBDF2 9.4e-05 1.0000 9.6e-03
500 320 RE 8.9e-05 1.0000 1.2e-02
500 640 CN 9.5e-05 1.0000 1.1e-02
500 640 RAN 9.5e-05 1.0000 9.6e-03
500 640 LMG2 9.6e-05 1.0000 2.2e-02
500 640 LMG3 9.5e-05 1.0000 3.7e-02
500 640 LS 9.5e-05 1.0000 1.6e-02
500 640 TRBDF2 9.5e-05 1.0000 1.9e-02
500 640 RE 9.3e-05 1.0000 2.3e-02
500 1280 CN 9.5e-05 1.0000 1.9e-02
500 1280 RAN 9.5e-05 1.0000 1.9e-02
500 1280 LMG2 9.5e-05 1.0000 4.5e-02
500 1280 LMG3 9.5e-05 1.0000 7.4e-02
500 1280 LS 9.5e-05 1.0000 3.1e-02
500 1280 TRBDF2 9.5e-05 1.0000 3.7e-02
500 1280 RE 9.5e-05 1.0000 4.5e-02
