SpaceSteps TimeSteps Scheme MaxError F Time
500 2 CN 9.1e+01 1.0000 2.2e-04
500 5 CN 7.8e+01 1.0000 2.4e-04
500 10 CN 5.7e+01 1.0000 2.9e-04
500 20 CN 2.5e+01 1.0000 4.0e-04
500 40 CN 2.1e+00 1.0000 6.2e-04
500 80 CN 4.1e-04 0.9899 1.1e-03
500 160 CN 6.8e-06 1.0000 2.1e-03
500 320 CN 1.7e-06 1.0000 4.1e-03
500 640 CN 4.3e-07 1.0000 7.5e-03
500 1280 CN 1.1e-07 1.0000 1.6e-02
500 2 RAN 1.1e-01 1.0000 3.0e-04
500 5 RAN 8.2e-03 1.0905 3.3e-04
500 10 RAN 2.4e-03 1.0000 4.0e-04
500 20 RAN 5.6e-04 1.0000 5.1e-04
500 40 RAN 1.4e-04 1.0000 8.0e-04
500 80 RAN 3.2e-05 1.0101 1.2e-03
500 160 RAN 8.1e-06 1.0101 2.2e-03
500 320 RAN 2.0e-06 1.0101 3.8e-03
500 640 RAN 5.1e-07 1.0101 7.9e-03
500 1280 RAN 1.3e-07 1.0101 1.6e-02
500 2 LMG2 3.0e-02 1.0000 3.0e-04
500 5 LMG2 6.9e-03 1.0000 4.0e-04
500 10 LMG2 2.3e-03 1.0000 4.9e-04
500 20 LMG2 6.9e-04 1.0000 8.5e-04
500 40 LMG2 1.9e-04 1.0000 1.4e-03
500 80 LMG2 5.1e-05 1.0000 2.7e-03
500 160 LMG2 1.3e-05 1.0000 5.1e-03
500 320 LMG2 3.3e-06 1.0000 9.8e-03
500 640 LMG2 8.4e-07 1.0000 2.0e-02
500 1280 LMG2 2.1e-07 1.0000 3.8e-02
500 2 LMG3 1.0e-02 1.0000 3.4e-04
500 5 LMG3 1.3e-03 1.0000 4.9e-04
500 10 LMG3 2.6e-04 1.0000 6.9e-04
500 20 LMG3 4.6e-05 1.0000 1.2e-03
500 40 LMG3 7.1e-06 1.0000 2.1e-03
500 80 LMG3 1.1e-06 1.0000 4.5e-03
500 160 LMG3 1.6e-07 1.0000 7.9e-03
500 320 LMG3 2.6e-08 1.0000 1.6e-02
500 640 LMG3 4.6e-09 1.0000 3.1e-02
500 1280 LMG3 8.7e-10 1.0000 6.4e-02
500 2 LS 2.4e-01 1.0000 3.0e-04
500 5 LS 5.4e-03 1.0000 3.4e-04
500 10 LS 8.6e-04 1.0000 4.0e-04
500 20 LS 2.1e-04 1.0000 6.9e-04
500 40 LS 5.3e-05 1.0000 9.7e-04
500 80 LS 1.3e-05 1.0000 2.0e-03
500 160 LS 3.3e-06 1.0000 3.7e-03
500 320 LS 8.2e-07 1.0000 6.7e-03
500 640 LS 2.1e-07 1.0000 1.4e-02
500 1280 LS 5.1e-08 1.0000 2.7e-02
500 2 TRBDF2 2.4e-01 1.0000 2.9e-04
500 5 TRBDF2 5.5e-03 1.0000 3.8e-04
500 10 TRBDF2 8.7e-04 1.0000 4.3e-04
500 20 TRBDF2 2.2e-04 1.0000 7.4e-04
500 40 TRBDF2 5.3e-05 1.0000 1.2e-03
500 80 TRBDF2 1.3e-05 1.0000 2.2e-03
500 160 TRBDF2 3.3e-06 1.0000 4.1e-03
500 320 TRBDF2 8.3e-07 1.0000 7.9e-03
500 640 TRBDF2 2.1e-07 1.0000 1.6e-02
500 1280 TRBDF2 5.2e-08 1.0000 3.0e-02
500 2 CNBDF3 5.9e-01 1.0000 2.7e-04
500 5 CNBDF3 6.2e-03 1.0000 4.2e-04
500 10 CNBDF3 1.4e-04 1.0302 6.2e-04
500 20 CNBDF3 3.8e-05 1.0000 9.7e-04
500 40 CNBDF3 9.8e-06 1.0000 1.8e-03
500 80 CNBDF3 2.5e-06 1.0000 3.5e-03
500 160 CNBDF3 6.2e-07 1.0000 6.3e-03
500 320 CNBDF3 1.6e-07 1.0000 1.2e-02
500 640 CNBDF3 3.9e-08 1.0000 2.2e-02
500 1280 CNBDF3 9.7e-09 1.0000 4.8e-02
500 2 RE 9.6e-01 1.0000 4.6e-04
500 5 RE 4.1e-02 1.0000 5.7e-04
500 10 RE 7.9e-03 1.0000 7.4e-04
500 20 RE 1.8e-03 1.0000 1.1e-03
500 40 RE 4.2e-04 1.0000 1.7e-03
500 80 RE 1.0e-04 1.0000 2.7e-03
500 160 RE 2.5e-05 1.0000 5.4e-03
500 320 RE 6.2e-06 1.0000 9.9e-03
500 640 RE 1.5e-06 1.0000 2.0e-02
500 1280 RE 3.9e-07 1.0000 4.0e-02
