SpaceSteps TimeSteps Scheme Price PriceError Vol  Error Time
250 2 CN 1.3634e-01 1.3e-02 0.34343 3.4e-02  1.4e-04
250 2 RAN 1.4604e-01 3.6e-03 0.36813 9.1e-03  1.5e-04
250 2 LMG2 1.4900e-01 6.2e-04 0.37569 1.6e-03  1.7e-04
250 2 LMG3 1.4947e-01 1.5e-04 0.37689 3.8e-04  2.1e-04
250 2 TRBDF2 1.4935e-01 2.7e-04 0.37658 6.9e-04  1.5e-04
250 2 RE 1.5896e-01 9.3e-03 0.40113 2.4e-02  3.0e-04
250 5 CN 1.5416e-01 4.5e-03 0.38885 1.2e-02  2.3e-04
250 5 RAN 1.4920e-01 4.2e-04 0.37619 1.1e-03  2.8e-04
250 5 LMG2 1.4945e-01 1.7e-04 0.37684 4.3e-04  3.5e-04
250 5 LMG3 1.4960e-01 2.4e-05 0.37721 6.1e-05  4.8e-04
250 5 TRBDF2 1.4967e-01 5.0e-05 0.37740 1.3e-04  2.7e-04
250 5 RE 1.5141e-01 1.8e-03 0.38183 4.6e-03  4.7e-04
250 10 CN 1.4852e-01 1.1e-03 0.37445 2.8e-03  3.3e-04
250 10 RAN 1.4952e-01 1.1e-04 0.37700 2.7e-04  3.7e-04
250 10 LMG2 1.4957e-01 5.5e-05 0.37713 1.4e-04  5.8e-04
250 10 LMG3 1.4962e-01 4.8e-06 0.37726 1.2e-05  8.4e-04
250 10 TRBDF2 1.4963e-01 6.3e-06 0.37729 1.6e-05  4.1e-04
250 10 RE 1.5012e-01 5.0e-04 0.37855 1.3e-03  5.9e-04
250 20 CN 1.4956e-01 5.7e-05 0.37713 1.5e-04  4.0e-04
250 20 RAN 1.4960e-01 2.6e-05 0.37720 6.7e-05  4.2e-04
250 20 LMG2 1.4961e-01 1.6e-05 0.37723 4.1e-05  7.7e-04
250 20 LMG3 1.4962e-01 1.0e-06 0.37727 2.7e-06  1.2e-03
250 20 TRBDF2 1.4962e-01 1.3e-06 0.37727 3.2e-06  5.3e-04
250 20 RE 1.4975e-01 1.3e-04 0.37761 3.4e-04  9.4e-04
250 40 CN 1.4962e-01 2.0e-06 0.37728 5.1e-06  7.2e-04
250 40 RAN 1.4961e-01 6.9e-06 0.37725 1.8e-05  7.5e-04
250 40 LMG2 1.4962e-01 4.7e-06 0.37726 1.2e-05  1.3e-03
250 40 LMG3 1.4962e-01 4.4e-07 0.37727 1.1e-06  2.0e-03
250 40 TRBDF2 1.4962e-01 1.9e-06 0.37727 4.7e-06  8.2e-04
250 40 RE 1.4966e-01 3.3e-05 0.37736 8.5e-05  1.6e-03
250 80 CN 1.4962e-01 2.4e-07 0.37727 6.1e-07  1.1e-03
250 80 RAN 1.4962e-01 2.0e-06 0.37727 5.0e-06  1.2e-03
250 80 LMG2 1.4962e-01 1.5e-06 0.37727 3.8e-06  3.3e-03
250 80 LMG3 1.4962e-01 3.6e-07 0.37727 9.1e-07  9.6e-03
250 80 TRBDF2 1.4962e-01 1.4e-06 0.37727 3.5e-06  1.6e-03
250 80 RE 1.4963e-01 8.2e-06 0.37729 2.1e-05  3.1e-03
250 160 CN 1.4962e-01 2.0e-07 0.37727 5.1e-07  2.2e-03
250 160 RAN 1.4962e-01 7.5e-07 0.37727 1.9e-06  2.2e-03
250 160 LMG2 1.4962e-01 6.4e-07 0.37727 1.6e-06  4.9e-03
250 160 LMG3 1.4962e-01 3.5e-07 0.37727 8.9e-07  7.8e-03
250 160 TRBDF2 1.4962e-01 9.2e-07 0.37727 2.3e-06  3.1e-03
250 160 RE 1.4962e-01 1.8e-06 0.37728 4.6e-06  6.0e-03
250 320 CN 1.4962e-01 3.1e-07 0.37727 7.9e-07  4.4e-03
250 320 RAN 1.4962e-01 4.5e-07 0.37727 1.1e-06  4.6e-03
250 320 LMG2 1.4962e-01 4.2e-07 0.37727 1.1e-06  1.1e-02
250 320 LMG3 1.4962e-01 3.5e-07 0.37727 8.9e-07  1.6e-02
250 320 TRBDF2 1.4962e-01 6.5e-07 0.37727 1.7e-06  6.1e-03
250 320 RE 1.4962e-01 1.9e-07 0.37727 4.8e-07  1.2e-02
250 640 CN 1.4962e-01 3.4e-07 0.37727 8.6e-07  8.8e-03
250 640 RAN 1.4962e-01 3.7e-07 0.37727 9.5e-07  8.8e-03
250 640 LMG2 1.4962e-01 3.7e-07 0.37727 9.3e-07  2.0e-02
250 640 LMG3 1.4962e-01 3.5e-07 0.37727 8.9e-07  3.1e-02
250 640 TRBDF2 1.4962e-01 5.0e-07 0.37727 1.3e-06  1.2e-02
250 640 RE 1.4962e-01 2.1e-07 0.37727 5.4e-07  2.4e-02
250 1280 CN 1.4962e-01 3.5e-07 0.37727 8.8e-07  1.7e-02
250 1280 RAN 1.4962e-01 3.5e-07 0.37727 9.0e-07  2.2e-02
250 1280 LMG2 1.4962e-01 3.5e-07 0.37727 9.0e-07  3.9e-02
250 1280 LMG3 1.4962e-01 3.5e-07 0.37727 8.9e-07  6.2e-02
250 1280 TRBDF2 1.4962e-01 4.3e-07 0.37727 1.1e-06  2.4e-02
250 1280 RE 1.4962e-01 3.1e-07 0.37727 8.0e-07  4.8e-02
