SpaceSteps TimeSteps Scheme MaxError F Time
250 1 CN 4.0e+01 1.0000 1.9e-04
250 2 CN 3.8e+01 1.0000 2.4e-04
250 3 CN 3.7e+01 1.0000 2.4e-04
250 4 CN 3.5e+01 1.0000 1.9e-03
250 5 CN 3.4e+01 1.0000 3.0e-04
250 6 CN 3.2e+01 1.0000 3.0e-04
250 7 CN 3.0e+01 1.0000 2.6e-04
250 8 CN 2.9e+01 1.0000 2.8e-04
250 9 CN 2.8e+01 1.0000 2.9e-04
250 10 CN 2.6e+01 1.0000 3.1e-04
250 20 CN 1.4e+01 1.0000 4.5e-04
250 40 CN 2.2e+00 1.0000 7.5e-04
250 80 CN 4.2e-03 1.0000 1.4e-03
250 160 CN 2.4e-05 1.0000 2.5e-03
250 320 CN 2.5e-05 1.0000 5.3e-03
250 640 CN 2.6e-05 1.0000 9.8e-03
250 1280 CN 2.6e-05 1.0000 2.0e-02
250 1 RAN 9.3e-02 1.0000 2.1e-04
250 2 RAN 3.9e-02 1.0000 2.2e-04
250 3 RAN 7.6e-03 1.1298 2.8e-04
250 4 RAN 6.4e-03 1.0000 2.5e-04
250 5 RAN 3.0e-03 1.0943 2.7e-04
250 6 RAN 2.5e-03 1.0000 2.9e-04
250 7 RAN 1.6e-03 1.0683 3.8e-04
250 8 RAN 1.4e-03 1.0000 3.2e-04
250 9 RAN 9.6e-04 1.0596 5.2e-04
250 10 RAN 8.5e-04 1.0000 3.9e-04
250 20 RAN 2.2e-04 1.0000 5.8e-04
250 40 RAN 7.3e-05 1.0000 9.0e-04
250 80 RAN 3.7e-05 1.0000 1.5e-03
250 160 RAN 2.9e-05 1.0000 2.7e-03
250 320 RAN 2.7e-05 1.0000 5.0e-03
250 640 RAN 2.6e-05 1.0000 1.0e-02
250 1280 RAN 2.6e-05 1.0000 2.2e-02
250 1 LMG2 1.1e-01 1.0000 2.4e-04
250 2 LMG2 1.0e-02 1.0000 2.8e-04
250 3 LMG2 4.7e-03 1.0085 3.6e-04
250 4 LMG2 3.3e-03 1.0000 4.1e-04
250 5 LMG2 2.4e-03 1.0000 4.7e-04
250 6 LMG2 1.9e-03 1.0000 4.6e-04
250 7 LMG2 1.5e-03 1.0000 5.1e-04
250 8 LMG2 1.2e-03 1.0000 5.8e-04
250 9 LMG2 9.9e-04 1.0000 7.1e-04
250 10 LMG2 8.4e-04 1.0000 6.4e-04
250 20 LMG2 2.7e-04 1.0000 1.1e-03
250 40 LMG2 9.3e-05 1.0000 2.0e-03
250 80 LMG2 4.4e-05 1.0000 3.9e-03
250 160 LMG2 3.1e-05 1.0000 7.6e-03
250 320 LMG2 2.7e-05 1.0000 1.5e-02
250 640 LMG2 2.6e-05 1.0000 3.0e-02
250 1280 LMG2 2.6e-05 1.0000 5.9e-02
250 1 LMG3 9.2e-02 1.0000 2.7e-04
250 2 LMG3 3.5e-03 1.0000 3.0e-04
250 3 LMG3 1.3e-03 1.0000 3.7e-04
250 4 LMG3 7.2e-04 1.0000 4.7e-04
250 5 LMG3 4.7e-04 1.0000 5.3e-04
250 6 LMG3 3.2e-04 1.0000 7.3e-04
250 7 LMG3 2.4e-04 1.0000 6.9e-04
250 8 LMG3 1.8e-04 1.0000 7.1e-04
250 9 LMG3 1.4e-04 1.0000 8.4e-04
250 10 LMG3 1.2e-04 1.0000 8.9e-04
250 20 LMG3 4.2e-05 1.0000 1.5e-03
250 40 LMG3 2.8e-05 1.0000 3.2e-03
250 80 LMG3 2.6e-05 1.0000 6.0e-03
250 160 LMG3 2.6e-05 1.0000 1.2e-02
250 320 LMG3 2.6e-05 1.0000 2.3e-02
250 640 LMG3 2.6e-05 1.0000 4.8e-02
250 1280 LMG3 2.6e-05 1.0000 1.0e-01
250 1 LS 6.6e-01 1.0000 2.8e-04
250 2 LS 8.4e-02 1.0000 2.7e-04
250 3 LS 2.0e-02 1.0000 3.3e-04
250 4 LS 3.5e-03 0.8966 3.5e-04
250 5 LS 1.9e-03 1.0000 3.5e-04
250 6 LS 7.7e-04 0.9316 3.6e-04
250 7 LS 6.2e-04 1.0000 4.0e-04
250 8 LS 4.4e-04 1.0000 4.4e-04
250 9 LS 3.5e-04 1.0000 4.5e-04
250 10 LS 2.8e-04 1.0000 4.4e-04
250 20 LS 4.9e-05 1.0000 7.2e-04
250 40 LS 7.5e-06 1.0340 1.3e-03
250 80 LS 2.1e-05 1.0085 2.8e-03
250 160 LS 2.5e-05 1.0000 5.4e-03
250 320 LS 2.6e-05 1.0000 9.8e-03
250 640 LS 2.6e-05 1.0000 1.9e-02
250 1280 LS 2.6e-05 1.0000 3.9e-02
250 1 TRBDF2 6.7e-01 1.0000 2.1e-04
250 2 TRBDF2 8.4e-02 1.0000 2.6e-04
250 3 TRBDF2 2.1e-02 1.0000 2.6e-04
250 4 TRBDF2 3.6e-03 0.8966 3.3e-04
250 5 TRBDF2 1.9e-03 1.0000 3.5e-04
250 6 TRBDF2 7.8e-04 0.9316 3.4e-04
250 7 TRBDF2 6.3e-04 1.0000 3.9e-04
250 8 TRBDF2 4.5e-04 1.0000 4.5e-04
250 9 TRBDF2 3.5e-04 1.0000 4.3e-04
250 10 TRBDF2 2.8e-04 1.0000 4.5e-04
250 20 TRBDF2 4.9e-05 1.0000 7.7e-04
250 40 TRBDF2 7.3e-06 1.0340 1.7e-03
250 80 TRBDF2 2.1e-05 1.0085 2.6e-03
250 160 TRBDF2 2.5e-05 1.0000 4.8e-03
250 320 TRBDF2 2.6e-05 1.0000 9.6e-03
250 640 TRBDF2 2.6e-05 1.0000 1.9e-02
250 1280 TRBDF2 2.6e-05 1.0000 4.0e-02
250 1 TRBDF3 1.2e+00 1.0000 2.6e-04
250 2 TRBDF3 2.1e-01 1.0000 2.5e-04
250 3 TRBDF3 4.4e-02 1.0000 3.0e-04
250 4 TRBDF3 9.8e-03 1.0000 3.4e-04
250 5 TRBDF3 2.2e-03 1.0000 4.1e-04
250 6 TRBDF3 5.0e-04 0.9402 4.3e-04
250 7 TRBDF3 1.7e-04 0.9488 4.7e-04
250 8 TRBDF3 7.2e-05 0.9488 5.6e-04
250 9 TRBDF3 4.0e-05 0.9574 7.9e-04
250 10 TRBDF3 2.6e-05 0.9660 6.8e-04
250 20 TRBDF3 1.3e-05 1.0085 1.0e-03
250 40 TRBDF3 2.2e-05 1.0085 2.0e-03
250 80 TRBDF3 2.5e-05 1.0000 3.8e-03
250 160 TRBDF3 2.6e-05 1.0000 7.5e-03
250 320 TRBDF3 2.6e-05 1.0000 1.6e-02
250 640 TRBDF3 2.6e-05 1.0000 3.3e-02
250 1280 TRBDF3 2.6e-05 1.0000 6.5e-02
250 1 RE 1.1e-01 1.0000 2.7e-04
250 2 RE 1.6e-02 1.0000 3.7e-04
250 3 RE 5.9e-03 1.0000 3.8e-04
250 4 RE 3.1e-03 1.0000 3.7e-04
250 5 RE 1.9e-03 1.0000 4.2e-04
250 6 RE 1.3e-03 1.0000 5.2e-04
250 7 RE 9.0e-04 1.2767 5.7e-04
250 8 RE 6.9e-04 1.2767 6.2e-04
250 9 RE 5.4e-04 1.2876 6.6e-04
250 10 RE 4.4e-04 1.2876 6.5e-04
250 20 RE 1.0e-04 1.2876 1.1e-03
250 40 RE 2.4e-05 1.2450 2.1e-03
250 80 RE 2.0e-05 1.0170 3.9e-03
250 160 RE 2.4e-05 1.0085 7.8e-03
250 320 RE 2.6e-05 1.0000 1.4e-02
250 640 RE 2.6e-05 1.0000 3.9e-02
250 1280 RE 2.6e-05 1.0000 5.4e-02
