SpaceSteps TimeSteps Scheme MaxError F Time
500 1 CN 8.2e+01 1.0000 4.1e-04
500 2 CN 8.1e+01 1.0000 4.1e-04
500 3 CN 7.9e+01 1.0000 4.2e-04
500 4 CN 7.7e+01 1.0000 4.5e-04
500 5 CN 7.6e+01 1.0000 4.7e-04
500 6 CN 7.4e+01 1.0000 5.0e-04
500 7 CN 7.3e+01 1.0000 5.2e-04
500 8 CN 7.1e+01 1.0000 5.5e-04
500 9 CN 7.0e+01 1.0000 5.8e-04
500 10 CN 6.8e+01 1.0000 6.7e-04
500 20 CN 5.3e+01 1.0000 9.2e-04
500 40 CN 2.8e+01 1.0000 1.5e-03
500 80 CN 4.5e+00 1.0000 3.0e-03
500 160 CN 9.7e-03 1.0000 5.3e-03
500 320 CN 5.7e-06 1.0042 9.7e-03
500 640 CN 6.2e-06 1.0042 1.9e-02
500 1280 CN 6.3e-06 1.0042 3.9e-02
500 1 RAN 9.3e-02 1.0000 4.2e-04
500 2 RAN 3.9e-02 1.0000 5.2e-04
500 3 RAN 7.6e-03 1.1331 5.5e-04
500 4 RAN 6.4e-03 1.0000 5.8e-04
500 5 RAN 3.0e-03 1.0934 6.4e-04
500 6 RAN 2.5e-03 1.0000 6.5e-04
500 7 RAN 1.5e-03 1.0719 6.8e-04
500 8 RAN 1.3e-03 1.0000 6.8e-04
500 9 RAN 9.4e-04 1.0591 7.5e-04
500 10 RAN 8.3e-04 1.0000 7.2e-04
500 20 RAN 2.0e-04 1.0000 1.1e-03
500 40 RAN 5.3e-05 1.0000 1.8e-03
500 80 RAN 1.8e-05 1.0000 3.1e-03
500 160 RAN 9.2e-06 1.0084 5.5e-03
500 320 RAN 7.0e-06 1.0042 1.0e-02
500 640 RAN 6.5e-06 1.0042 1.9e-02
500 1280 RAN 6.4e-06 1.0042 3.8e-02
500 1 LMG2 1.1e-01 1.0000 4.5e-04
500 2 LMG2 1.0e-02 1.0000 6.0e-04
500 3 LMG2 4.7e-03 1.0042 6.2e-04
500 4 LMG2 3.3e-03 1.0042 7.1e-04
500 5 LMG2 2.4e-03 1.0042 7.6e-04
500 6 LMG2 1.8e-03 1.0042 8.3e-04
500 7 LMG2 1.4e-03 1.0000 8.9e-04
500 8 LMG2 1.2e-03 1.0000 1.0e-03
500 9 LMG2 9.7e-04 1.0000 1.1e-03
500 10 LMG2 8.2e-04 1.0000 1.1e-03
500 20 LMG2 2.5e-04 1.0000 2.1e-03
500 40 LMG2 7.4e-05 1.0000 3.7e-03
500 80 LMG2 2.4e-05 1.0000 7.1e-03
500 160 LMG2 1.1e-05 1.0000 1.4e-02
500 320 LMG2 7.5e-06 1.0042 3.1e-02
500 640 LMG2 6.6e-06 1.0042 7.8e-02
500 1280 LMG2 6.4e-06 1.0042 1.2e-01
500 1 LMG3 9.2e-02 1.0000 6.1e-04
500 2 LMG3 3.5e-03 1.0000 7.5e-04
500 3 LMG3 1.2e-03 1.0000 9.1e-04
500 4 LMG3 7.0e-04 1.0000 1.1e-03
500 5 LMG3 4.5e-04 1.0000 1.2e-03
500 6 LMG3 3.0e-04 0.9958 1.4e-03
500 7 LMG3 2.2e-04 0.9958 1.6e-03
500 8 LMG3 1.6e-04 0.9958 1.7e-03
500 9 LMG3 1.2e-04 0.9958 1.9e-03
500 10 LMG3 9.8e-05 0.9958 2.0e-03
500 20 LMG3 2.2e-05 1.0000 3.6e-03
500 40 LMG3 8.8e-06 1.0000 8.5e-03
500 80 LMG3 6.7e-06 1.0042 1.3e-02
500 160 LMG3 6.4e-06 1.0042 2.5e-02
500 320 LMG3 6.3e-06 1.0042 4.5e-02
500 640 LMG3 6.3e-06 1.0042 9.0e-02
500 1280 LMG3 6.3e-06 1.0042 1.8e-01
500 1 LS 6.6e-01 1.0000 4.3e-04
500 2 LS 8.3e-02 1.0000 4.6e-04
500 3 LS 2.0e-02 1.0000 5.1e-04
500 4 LS 3.5e-03 0.8975 6.1e-04
500 5 LS 1.9e-03 1.0000 6.6e-04
500 6 LS 7.9e-04 0.9365 7.2e-04
500 7 LS 6.4e-04 1.0000 7.8e-04
500 8 LS 4.6e-04 1.0000 8.3e-04
500 9 LS 3.7e-04 1.0000 8.8e-04
500 10 LS 2.9e-04 1.0000 9.4e-04
500 20 LS 6.8e-05 1.0000 1.4e-03
500 40 LS 1.2e-05 1.0000 2.7e-03
500 80 LS 2.3e-06 14.4464 4.9e-03
500 160 LS 5.2e-06 1.0042 9.5e-03
500 320 LS 6.0e-06 1.0042 1.9e-02
500 640 LS 6.2e-06 1.0042 3.8e-02
500 1280 LS 6.3e-06 1.0042 7.3e-02
500 1 TRBDF2 6.7e-01 1.0000 4.7e-04
500 2 TRBDF2 8.4e-02 1.0000 4.9e-04
500 3 TRBDF2 2.1e-02 1.0000 5.9e-04
500 4 TRBDF2 3.6e-03 0.8975 5.8e-04
500 5 TRBDF2 1.9e-03 1.0000 6.3e-04
500 6 TRBDF2 8.0e-04 0.9365 7.1e-04
500 7 TRBDF2 6.5e-04 1.0000 7.6e-04
500 8 TRBDF2 4.7e-04 1.0000 8.0e-04
500 9 TRBDF2 3.7e-04 1.0000 9.0e-04
500 10 TRBDF2 3.0e-04 1.0000 9.2e-04
500 20 TRBDF2 6.9e-05 1.0000 1.5e-03
500 40 TRBDF2 1.2e-05 1.0000 2.7e-03
500 80 TRBDF2 2.3e-06 14.4464 5.0e-03
500 160 TRBDF2 5.2e-06 1.0042 9.6e-03
500 320 TRBDF2 6.0e-06 1.0042 1.9e-02
500 640 TRBDF2 6.2e-06 1.0042 3.8e-02
500 1280 TRBDF2 6.3e-06 1.0042 7.5e-02
500 1 TRBDF3 1.2e+00 1.0000 4.5e-04
500 2 TRBDF3 2.0e-01 1.0000 5.4e-04
500 3 TRBDF3 4.3e-02 1.0000 6.2e-04
500 4 TRBDF3 9.6e-03 1.0000 7.0e-04
500 5 TRBDF3 2.1e-03 1.0000 8.0e-04
500 6 TRBDF3 5.2e-04 1.0591 9.2e-04
500 7 TRBDF3 1.8e-04 0.9451 1.0e-03
500 8 TRBDF3 9.0e-05 0.9493 1.0e-03
500 9 TRBDF3 5.8e-05 0.9578 1.1e-03
500 10 TRBDF3 4.4e-05 0.9705 1.2e-03
500 20 TRBDF3 7.1e-06 0.9958 2.1e-03
500 40 TRBDF3 2.9e-06 1.0126 4.0e-03
500 80 TRBDF3 5.5e-06 1.0042 7.7e-03
500 160 TRBDF3 6.1e-06 1.0042 1.5e-02
500 320 TRBDF3 6.3e-06 1.0042 3.6e-02
500 640 TRBDF3 6.3e-06 1.0042 5.9e-02
500 1280 TRBDF3 6.3e-06 1.0042 1.2e-01
500 1 RE 1.1e-01 1.0000 4.4e-04
500 2 RE 1.6e-02 1.0000 6.2e-04
500 3 RE 5.9e-03 1.0000 6.9e-04
500 4 RE 3.1e-03 1.0000 6.8e-04
500 5 RE 1.9e-03 1.0000 7.8e-04
500 6 RE 1.3e-03 0.9958 9.0e-04
500 7 RE 9.1e-04 0.9958 9.4e-04
500 8 RE 6.9e-04 1.2791 1.1e-03
500 9 RE 5.4e-04 1.2845 1.2e-03
500 10 RE 4.4e-04 1.2900 1.2e-03
500 20 RE 1.1e-04 1.3010 2.0e-03
500 40 RE 2.5e-05 1.2954 3.7e-03
500 80 RE 6.0e-06 1.2476 7.2e-03
500 160 RE 4.8e-06 1.0168 1.4e-02
500 320 RE 5.9e-06 1.0042 2.8e-02
500 640 RE 6.2e-06 1.0042 5.5e-02
500 1280 RE 6.3e-06 1.0042 1.1e-01
