SpaceSteps TimeSteps Scheme MaxError Time
500 2 CN 1.9e-02 3.2e-04
500 2 RAN 6.9e-03 4.1e-04
500 2 LMG2 1.7e-03 3.4e-04
500 2 LMG3 7.7e-04 4.0e-04
500 2 TRBDF2 1.6e-03 2.9e-04
500 2 RE 2.3e-02 3.4e-04
500 5 CN 7.8e-03 3.2e-04
500 5 RAN 7.4e-04 3.8e-04
500 5 LMG2 4.5e-04 4.8e-04
500 5 LMG3 1.9e-04 6.8e-04
500 5 TRBDF2 1.9e-04 4.9e-04
500 5 RE 3.3e-03 5.9e-04
500 10 CN 3.5e-03 5.1e-04
500 10 RAN 1.8e-04 5.8e-04
500 10 LMG2 1.4e-04 9.0e-04
500 10 LMG3 5.0e-05 1.3e-03
500 10 TRBDF2 4.4e-05 7.9e-04
500 10 RE 9.0e-04 9.5e-04
500 20 CN 1.4e-03 7.6e-04
500 20 RAN 4.6e-05 8.0e-04
500 20 LMG2 4.4e-05 1.5e-03
500 20 LMG3 9.8e-06 2.2e-03
500 20 TRBDF2 8.0e-06 1.4e-03
500 20 RE 2.4e-04 3.1e-03
500 40 CN 3.9e-04 1.5e-03
500 40 RAN 1.4e-05 1.4e-03
500 40 LMG2 1.5e-05 2.8e-03
500 40 LMG3 2.9e-06 4.3e-03
500 40 TRBDF2 4.5e-06 2.5e-03
500 40 RE 6.0e-05 3.4e-03
500 80 CN 3.1e-05 2.5e-03
500 80 RAN 6.3e-06 2.9e-03
500 80 LMG2 6.5e-06 5.3e-03
500 80 LMG3 3.4e-06 8.3e-03
500 80 TRBDF2 4.3e-06 4.7e-03
500 80 RE 1.5e-05 6.5e-03
500 160 CN 4.4e-06 4.8e-03
500 160 RAN 4.6e-06 4.9e-03
500 160 LMG2 4.4e-06 1.0e-02
500 160 LMG3 4.1e-06 1.7e-02
500 160 TRBDF2 4.3e-06 9.4e-03
500 160 RE 4.9e-06 1.4e-02
500 320 CN 4.3e-06 1.1e-02
500 320 RAN 4.3e-06 1.0e-02
500 320 LMG2 4.3e-06 2.1e-02
500 320 LMG3 4.2e-06 3.4e-02
500 320 TRBDF2 4.3e-06 1.9e-02
500 320 RE 4.3e-06 2.6e-02
500 640 CN 4.3e-06 2.8e-02
500 640 RAN 4.3e-06 2.0e-02
500 640 LMG2 4.3e-06 4.2e-02
500 640 LMG3 4.3e-06 7.2e-02
500 640 TRBDF2 4.3e-06 3.8e-02
500 640 RE 4.3e-06 5.1e-02
500 1280 CN 4.3e-06 3.8e-02
500 1280 RAN 4.3e-06 3.7e-02
500 1280 LMG2 4.3e-06 8.4e-02
500 1280 LMG3 4.3e-06 1.3e-01
500 1280 TRBDF2 4.3e-06 7.4e-02
500 1280 RE 4.3e-06 1.1e-01
