SpaceSteps TimeSteps Scheme MaxError Time
500 2 CN 4.1e-02 2.2e-04
500 5 CN 1.8e-02 3.0e-04
500 10 CN 7.3e-03 3.6e-04
500 20 CN 2.7e-03 4.2e-04
500 40 CN 6.7e-04 7.6e-04
500 80 CN 4.2e-05 1.4e-03
500 160 CN 3.0e-05 2.3e-03
500 320 CN 3.1e-05 4.2e-03
500 640 CN 3.1e-05 8.3e-03
500 1280 CN 3.1e-05 1.7e-02
500 2 RAN 2.1e-02 2.9e-04
500 5 RAN 4.7e-03 3.6e-04
500 10 RAN 1.2e-03 4.1e-04
500 20 RAN 3.2e-04 4.9e-04
500 40 RAN 9.0e-05 8.2e-04
500 80 RAN 3.2e-05 1.4e-03
500 160 RAN 3.0e-05 2.3e-03
500 320 RAN 3.1e-05 4.2e-03
500 640 RAN 3.1e-05 8.4e-03
500 1280 RAN 3.1e-05 1.6e-02
500 2 LMG2 4.6e-03 2.9e-04
500 5 LMG2 8.9e-04 3.2e-04
500 10 LMG2 2.6e-04 5.1e-04
500 20 LMG2 1.0e-04 7.7e-04
500 40 LMG2 5.1e-05 1.4e-03
500 80 LMG2 3.7e-05 2.6e-03
500 160 LMG2 3.3e-05 4.7e-03
500 320 LMG2 3.2e-05 9.3e-03
500 640 LMG2 3.1e-05 1.9e-02
500 1280 LMG2 3.1e-05 3.7e-02
500 2 LMG3 2.6e-03 2.9e-04
500 5 LMG3 4.4e-04 4.2e-04
500 10 LMG3 1.2e-04 6.7e-04
500 20 LMG3 3.8e-05 1.3e-03
500 40 LMG3 3.2e-05 2.2e-03
500 80 LMG3 3.1e-05 4.3e-03
500 160 LMG3 3.1e-05 8.4e-03
500 320 LMG3 3.1e-05 1.6e-02
500 640 LMG3 3.1e-05 3.2e-02
500 1280 LMG3 3.1e-05 6.4e-02
500 2 LS 3.3e-03 2.7e-04
500 5 LS 3.4e-04 3.3e-04
500 10 LS 6.9e-05 4.4e-04
500 20 LS 1.7e-05 6.8e-04
500 40 LS 2.6e-05 9.7e-04
500 80 LS 3.0e-05 1.8e-03
500 160 LS 3.1e-05 3.4e-03
500 320 LS 3.1e-05 6.5e-03
500 640 LS 3.1e-05 1.3e-02
500 1280 LS 3.1e-05 2.6e-02
500 2 TRBDF2 4.6e-03 2.7e-04
500 5 TRBDF2 4.1e-04 3.8e-04
500 10 TRBDF2 9.8e-05 5.2e-04
500 20 TRBDF2 2.3e-05 6.8e-04
500 40 TRBDF2 2.6e-05 1.2e-03
500 80 TRBDF2 3.0e-05 2.1e-03
500 160 TRBDF2 3.1e-05 3.7e-03
500 320 TRBDF2 3.1e-05 7.6e-03
500 640 TRBDF2 3.1e-05 1.6e-02
500 1280 TRBDF2 3.1e-05 2.9e-02
500 2 CNBDF3 1.7e-03 2.8e-04
500 5 CNBDF3 7.5e-05 3.7e-04
500 10 CNBDF3 1.6e-05 5.6e-04
500 20 CNBDF3 2.7e-05 1.0e-03
500 40 CNBDF3 3.0e-05 1.8e-03
500 80 CNBDF3 3.1e-05 3.3e-03
500 160 CNBDF3 3.1e-05 6.2e-03
500 320 CNBDF3 3.1e-05 1.3e-02
500 640 CNBDF3 3.1e-05 2.4e-02
500 1280 CNBDF3 3.1e-05 5.0e-02
