SpaceSteps TimeSteps Scheme MaxError Time
500 1 CN 1.1e-01 4.7e-04
500 2 CN 4.3e-02 4.1e-04
500 3 CN 3.4e-02 4.4e-04
500 4 CN 2.3e-02 5.0e-04
500 5 CN 2.0e-02 4.7e-04
500 6 CN 1.6e-02 5.2e-04
500 7 CN 1.4e-02 5.7e-04
500 8 CN 1.2e-02 5.6e-04
500 9 CN 1.1e-02 6.0e-04
500 10 CN 9.3e-03 6.4e-04
500 20 CN 4.3e-03 9.2e-04
500 40 CN 1.5e-03 1.5e-03
500 80 CN 1.8e-04 2.7e-03
500 160 CN 2.4e-05 5.1e-03
500 320 CN 2.5e-05 1.0e-02
500 640 CN 2.5e-05 2.0e-02
500 1280 CN 2.5e-05 3.9e-02
500 1 RAN 3.5e-02 4.7e-04
500 2 RAN 2.0e-02 4.5e-04
500 3 RAN 1.1e-02 4.8e-04
500 4 RAN 6.4e-03 5.1e-04
500 5 RAN 4.2e-03 5.3e-04
500 6 RAN 2.9e-03 5.9e-04
500 7 RAN 2.2e-03 5.9e-04
500 8 RAN 1.7e-03 6.2e-04
500 9 RAN 1.3e-03 6.5e-04
500 10 RAN 1.1e-03 7.8e-04
500 20 RAN 2.9e-04 1.0e-03
500 40 RAN 8.9e-05 1.6e-03
500 80 RAN 4.1e-05 2.8e-03
500 160 RAN 2.9e-05 5.3e-03
500 320 RAN 2.6e-05 1.0e-02
500 640 RAN 2.5e-05 2.0e-02
500 1280 RAN 2.5e-05 4.0e-02
500 1 LMG2 1.4e-02 5.0e-04
500 2 LMG2 4.2e-03 4.9e-04
500 3 LMG2 2.1e-03 5.9e-04
500 4 LMG2 1.3e-03 6.6e-04
500 5 LMG2 8.8e-04 7.5e-04
500 6 LMG2 6.4e-04 8.3e-04
500 7 LMG2 4.9e-04 9.2e-04
500 8 LMG2 3.9e-04 9.9e-04
500 9 LMG2 3.2e-04 1.1e-03
500 10 LMG2 2.6e-04 1.2e-03
500 20 LMG2 8.8e-05 2.1e-03
500 40 LMG2 4.1e-05 3.8e-03
500 80 LMG2 2.9e-05 7.6e-03
500 160 LMG2 2.6e-05 1.4e-02
500 320 LMG2 2.5e-05 2.8e-02
500 640 LMG2 2.5e-05 5.5e-02
500 1280 LMG2 2.5e-05 1.1e-01
500 1 LMG3 7.4e-03 5.8e-04
500 2 LMG3 2.4e-03 6.0e-04
500 3 LMG3 1.1e-03 7.9e-04
500 4 LMG3 6.6e-04 8.8e-04
500 5 LMG3 4.2e-04 1.1e-03
500 6 LMG3 3.0e-04 1.3e-03
500 7 LMG3 2.3e-04 1.3e-03
500 8 LMG3 1.8e-04 1.5e-03
500 9 LMG3 1.5e-04 1.7e-03
500 10 LMG3 1.2e-04 1.8e-03
500 20 LMG3 5.0e-05 3.4e-03
500 40 LMG3 3.1e-05 6.3e-03
500 80 LMG3 2.7e-05 1.2e-02
500 160 LMG3 2.5e-05 2.4e-02
500 320 LMG3 2.5e-05 4.7e-02
500 640 LMG3 2.5e-05 9.5e-02
500 1280 LMG3 2.5e-05 1.9e-01
500 1 LS 1.8e-02 5.1e-04
500 2 LS 1.8e-03 4.5e-04
500 3 LS 5.4e-04 5.0e-04
500 4 LS 3.4e-04 6.4e-04
500 5 LS 2.2e-04 6.3e-04
500 6 LS 1.6e-04 6.7e-04
500 7 LS 1.2e-04 7.9e-04
500 8 LS 9.2e-05 9.0e-04
500 9 LS 7.5e-05 8.5e-04
500 10 LS 6.3e-05 9.2e-04
500 20 LS 2.9e-05 1.7e-03
500 40 LS 2.5e-05 2.8e-03
500 80 LS 2.5e-05 5.3e-03
500 160 LS 2.5e-05 9.9e-03
500 320 LS 2.5e-05 1.9e-02
500 640 LS 2.5e-05 3.9e-02
500 1280 LS 2.5e-05 7.6e-02
500 1 TRBDF2 2.6e-02 5.2e-04
500 2 TRBDF2 4.6e-03 5.1e-04
500 3 TRBDF2 1.6e-03 5.4e-04
500 4 TRBDF2 6.7e-04 5.7e-04
500 5 TRBDF2 4.1e-04 6.3e-04
