SpaceSteps TimeSteps Scheme MaxError Time
500 1 CN 1.1e-01 3.6e-04
500 2 CN 4.3e-02 3.8e-04
500 3 CN 3.4e-02 4.1e-04
500 4 CN 2.3e-02 4.4e-04
500 5 CN 2.0e-02 4.7e-04
500 6 CN 1.6e-02 5.0e-04
500 7 CN 1.4e-02 6.0e-04
500 8 CN 1.2e-02 6.4e-04
500 9 CN 1.1e-02 6.7e-04
500 10 CN 9.3e-03 6.2e-04
500 12 CN 7.7e-03 6.9e-04
500 14 CN 6.5e-03 7.4e-04
500 16 CN 5.6e-03 8.0e-04
500 20 CN 4.3e-03 1.1e-03
500 40 CN 1.5e-03 1.6e-03
500 80 CN 1.8e-04 2.8e-03
500 160 CN 2.4e-05 5.1e-03
500 320 CN 2.5e-05 9.9e-03
500 640 CN 2.5e-05 1.9e-02
500 1280 CN 2.5e-05 3.9e-02
500 1 RAN 3.5e-02 4.0e-04
500 2 RAN 2.0e-02 4.5e-04
500 3 RAN 1.1e-02 4.8e-04
500 4 RAN 6.4e-03 5.1e-04
500 5 RAN 4.2e-03 5.4e-04
500 6 RAN 2.9e-03 6.0e-04
500 7 RAN 2.2e-03 5.9e-04
500 8 RAN 1.7e-03 6.3e-04
500 9 RAN 1.3e-03 6.5e-04
500 10 RAN 1.1e-03 7.0e-04
500 12 RAN 7.7e-04 7.4e-04
500 14 RAN 5.7e-04 8.0e-04
500 16 RAN 4.4e-04 8.9e-04
500 20 RAN 2.9e-04 9.8e-04
500 40 RAN 8.9e-05 1.6e-03
500 80 RAN 4.1e-05 2.8e-03
500 160 RAN 2.9e-05 5.2e-03
500 320 RAN 2.6e-05 1.0e-02
500 640 RAN 2.5e-05 2.0e-02
500 1280 RAN 2.5e-05 3.9e-02
500 1 BDF2 5.9e-02 3.6e-04
500 2 BDF2 2.9e-02 3.8e-04
500 3 BDF2 1.7e-02 4.2e-04
500 4 BDF2 1.1e-02 5.0e-04
500 5 BDF2 7.1e-03 4.8e-04
500 6 BDF2 4.8e-03 5.4e-04
500 7 BDF2 3.4e-03 5.4e-04
500 8 BDF2 2.5e-03 6.0e-04
500 9 BDF2 1.9e-03 6.1e-04
500 10 BDF2 1.5e-03 6.7e-04
500 12 BDF2 9.8e-04 7.3e-04
