SpaceSteps TimeSteps Scheme MaxError Time
500 2 CN 3.7e-02 3.0e-04
500 2 RAN 2.4e-02 3.9e-04
500 2 LMG2 8.1e-03 3.3e-04
500 2 LMG3 2.8e-03 3.5e-04
500 2 TRBDF2 1.2e-02 2.6e-04
500 2 RE 2.4e-02 3.2e-04
500 5 CN 1.5e-02 3.0e-04
500 5 RAN 3.9e-03 3.5e-04
500 5 LMG2 2.6e-03 4.8e-04
500 5 LMG3 4.9e-04 6.4e-04
500 5 TRBDF2 1.4e-03 4.2e-04
500 5 RE 4.5e-03 5.5e-04
500 10 CN 5.6e-03 4.8e-04
500 10 RAN 9.8e-04 4.9e-04
500 10 LMG2 9.1e-04 7.7e-04
500 10 LMG3 9.7e-05 1.1e-03
500 10 TRBDF2 3.3e-04 7.4e-04
500 10 RE 1.3e-03 9.2e-04
500 20 CN 1.5e-03 7.1e-04
500 20 RAN 2.5e-04 8.1e-04
500 20 LMG2 2.7e-04 1.4e-03
500 20 LMG3 1.9e-05 2.1e-03
500 20 TRBDF2 7.6e-05 1.2e-03
500 20 RE 3.4e-04 1.8e-03
500 40 CN 8.2e-05 1.9e-03
500 40 RAN 6.6e-05 1.5e-03
500 40 LMG2 7.9e-05 2.9e-03
500 40 LMG3 6.8e-06 4.1e-03
500 40 TRBDF2 1.5e-05 2.3e-03
500 40 RE 8.6e-05 3.5e-03
500 80 CN 5.4e-06 2.5e-03
500 80 RAN 2.1e-05 3.7e-03
500 80 LMG2 2.4e-05 5.1e-03
500 80 LMG3 5.6e-06 8.0e-03
500 80 TRBDF2 3.7e-06 4.6e-03
500 80 RE 2.1e-05 6.2e-03
500 160 CN 4.6e-06 4.6e-03
500 160 RAN 9.4e-06 4.9e-03
500 160 LMG2 9.9e-06 1.0e-02
500 160 LMG3 5.6e-06 1.6e-02
500 160 TRBDF2 5.1e-06 9.1e-03
500 160 RE 5.5e-06 1.3e-02
500 320 CN 5.4e-06 9.0e-03
500 320 RAN 6.5e-06 9.1e-03
500 320 LMG2 6.1e-06 2.0e-02
500 320 LMG3 5.6e-06 3.1e-02
500 320 TRBDF2 5.5e-06 3.1e-02
500 320 RE 5.0e-06 2.4e-02
500 640 CN 5.5e-06 1.8e-02
500 640 RAN 5.8e-06 2.5e-02
500 640 LMG2 5.7e-06 4.0e-02
500 640 LMG3 5.6e-06 7.0e-02
500 640 TRBDF2 5.6e-06 3.6e-02
500 640 RE 5.4e-06 5.4e-02
500 1280 CN 5.6e-06 3.8e-02
500 1280 RAN 5.7e-06 3.9e-02
500 1280 LMG2 5.6e-06 8.4e-02
500 1280 LMG3 5.6e-06 1.4e-01
500 1280 TRBDF2 5.6e-06 7.5e-02
500 1280 RE 5.6e-06 1.0e-01
